"rhoA","rhouA","rhoEA","area_aux","velocity_aux","density_aux","total_energy_aux","internal_energy_aux","pressure_aux","temperature_aux","mach_number_aux","norm_vel_aux","mu_max_aux","kappa_max_aux","mu_aux","kappa_aux","residual_aux","jump_grad_press_aux","jump_grad_dens_aux","jump_grad_press_smooth_aux","jump_grad_dens_smooth_aux","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0.1,1,0,1,0.1,0.1,0.0666667,0.0666667,0,0,1.12381e-09,0.000750001,8.4729e-13,8.4729e-13,1.48474e-11,0.000148024,0.00154892,0.00029605,0.00284253,0,1,0,0,0,0
1,-9.98948e-07,0.1,1,-9.98944e-07,1,0.1,0.1,0.066667,0.0666667,2.99683e-06,9.98944e-07,1.12381e-09,0.000750001,8.4729e-13,8.4729e-13,1.48474e-11,0.000148024,0.00154892,0.00029605,0.00284253,0,1,0.0045,0.0045,0,0
1,1.08923e-10,0.1,1,1.08923e-10,1,0.1,0.1,0.0666667,0.0666666,3.2677e-10,1.08923e-10,1.12393e-09,0.000750001,1.66656e-12,1.66656e-12,4.59029e-12,0.000296048,0.00284252,0.000592099,0.00568506,0,1,0.009,0.009,0,0
1,-9.99157e-07,0.1,1,-9.99153e-07,1,0.1,0.1,0.066667,0.0666667,2.99746e-06,9.99153e-07,1.12417e-09,0.000750001,1.66431e-12,1.66431e-12,2.44367e-12,0.000295985,0.0026368,0.000592033,0.00551613,0,1,0.0135,0.0135,0,0
1,-2.21814e-10,0.1,1,-2.21813e-10,1,0.1,0.1,0.0666667,0.0666666,6.65441e-10,2.21813e-10,1.1243e-09,0.000750001,1.66163e-12,1.66163e-12,2.92043e-14,0.000295903,0.00267364,0.00059198,0.00534721,0,1,0.018,0.018,0,0
1,-9.98723e-07,0.1,1,-9.98719e-07,1,0.1,0.1,0.066667,0.0666667,2.99616e-06,9.98719e-07,1.12381e-09,0.000750001,1.66136e-12,1.66136e-12,2.10616e-14,0.000295995,0.00266291,0.000592145,0.00533894,0,1,0.0225,0.0225,0,0
1,3.42193e-10,0.1,1,3.42193e-10,1,0.1,0.1,0.0666667,0.0666666,1.02658e-09,3.42193e-10,1.12394e-09,0.000750001,1.66198e-12,1.66198e-12,1.82709e-14,0.000296142,0.00266528,0.000592295,0.00533066,0,1,0.027,0.027,0,0
1,-9.99417e-07,0.1,1,-9.99412e-07,1,0.1,0.1,0.066667,0.0666667,2.99824e-06,9.99412e-07,1.12472e-09,0.000750001,1.66277e-12,1.66277e-12,7.99868e-15,0.000296024,0.00266421,0.000592169,0.00532952,0,1,0.0315,0.0315,0,0
1,-4.73252e-10,0.1,1,-4.73252e-10,1,0.1,0.1,0.0666667,0.0666666,1.41976e-09,4.73252e-10,1.12487e-09,0.000750001,1.66246e-12,1.66246e-12,1.21947e-14,0.000295815,0.00266234,0.000591978,0.0053278,0,1,0.036,0.036,0,0
1,-9.98414e-07,0.1,1,-9.9841e-07,1,0.1,0.1,0.066667,0.0666667,2.99523e-06,9.9841e-07,1.12374e-09,0.000750001,1.66141e-12,1.66141e-12,3.9901e-14,0.000295954,0.00266359,0.000592189,0.0053297,0,1,0.0405,0.0405,0,0
1,6.16785e-10,0.1,1,6.16784e-10,1,0.1,0.1,0.0666667,0.0666666,1.85035e-09,6.16784e-10,1.1239e-09,0.000750001,1.66244e-12,1.66244e-12,5.2297e-14,0.00029622,0.00266598,0.000592464,0.00533218,0,1,0.045,0.045,0,0
1,-9.99788e-07,0.1,1,-9.99784e-07,1,0.1,0.1,0.066667,0.0666667,2.99935e-06,9.99784e-07,1.12545e-09,0.000750001,1.66427e-12,1.66427e-12,6.22987e-14,0.000296068,0.00266461,0.000592297,0.00533068,0,1,0.0495,0.0495,0,0
1,-7.73522e-10,0.1,1,-7.73521e-10,1,0.1,0.1,0.0666667,0.0666666,2.32056e-09,7.73521e-10,1.12563e-09,0.000750001,1.66361e-12,1.66361e-12,5.38504e-14,0.00029575,0.00266175,0.000591974,0.00532777,0,1,0.054,0.054,0,0
1,-9.9797e-07,0.1,1,-9.97966e-07,1,0.1,0.1,0.066667,0.0666667,2.9939e-06,9.97966e-07,1.12358e-09,0.000750001,1.6612e-12,1.6612e-12,4.65918e-14,0.000295907,0.00266316,0.000592197,0.00532977,0,1,0.0585,0.0585,0,0
1,9.41797e-10,0.1,1,9.41795e-10,1,0.1,0.1,0.0666667,0.0666666,2.82539e-09,9.41795e-10,1.12377e-09,0.000750001,1.66256e-12,1.66256e-12,6.00486e-14,0.000296267,0.0026664,0.000592575,0.00533317,0,1,0.063,0.063,0,0
1,-1.00031e-06,0.1,1,-1.0003e-06,1,0.1,0.1,0.066667,0.0666667,3.00091e-06,1.0003e-06,1.1264e-09,0.000750001,1.66597e-12,1.66597e-12,6.54535e-14,0.000296117,0.00266505,0.000592402,0.00533162,0,1,0.0675,0.0675,0,0
1,-1.11793e-09,0.1,1,-1.11793e-09,1,0.1,0.1,0.0666667,0.0666666,3.3538e-09,1.11793e-09,1.1266e-09,0.000750001,1.66506e-12,1.66506e-12,6.69748e-14,0.000295728,0.00266156,0.000591972,0.00532775,0,1,0.072,0.072,0,0
1,-9.97375e-07,0.1,1,-9.97371e-07,1,0.1,0.1,0.066667,0.0666667,2.99211e-06,9.97371e-07,1.1233e-09,0.000750001,1.6607e-12,1.6607e-12,9.61325e-14,0.000295856,0.00266271,0.000592145,0.00532931,0,1,0.0765,0.0765,0,0
1,1.2947e-09,0.1,1,1.2947e-09,1,0.1,0.1,0.0666667,0.0666666,3.88411e-09,1.2947e-09,1.1235e-09,0.000750001,1.66222e-12,1.66222e-12,1.12081e-13,0.000296256,0.00266631,0.000592576,0.00533318,0,1,0.081,0.081,0,0
1,-1.00097e-06,0.1,1,-1.00096e-06,1,0.1,0.1,0.066667,0.0666667,3.00289e-06,1.00096e-06,1.12754e-09,0.000750001,1.66784e-12,1.66784e-12,9.93275e-14,0.000296167,0.00266551,0.000592456,0.0053321,0,1,0.0855,0.0855,0,0
1,-1.462e-09,0.1,1,-1.462e-09,1,0.1,0.1,0.0666667,0.0666666,4.386e-09,1.462e-09,1.12773e-09,0.000750001,1.66676e-12,1.66676e-12,9.7044e-14,0.000295779,0.00266201,0.000591974,0.00532777,0,1,0.09,0.09,0,0
1,-9.96677e-07,0.1,1,-9.96672e-07,1,0.1,0.1,0.066667,0.0666667,2.99002e-06,9.96672e-07,1.1229e-09,0.000750001,1.65976e-12,1.65976e-12,1.22494e-13,0.000295809,0.00266228,0.000592009,0.00532808,0,1,0.0945,0.0945,0,0
1,1.60531e-09,0.1,1,1.60531e-09,1,0.1,0.1,0.0666667,0.0666666,4.81593e-09,1.60531e-09,1.12306e-09,0.000750001,1.6612e-12,1.6612e-12,1.81468e-13,0.000296158,0.00266542,0.000592414,0.00533173,0,1,0.099,0.099,0,0
1,-1.00167e-06,0.1,1,-1.00166e-06,1,0.1,0.1,0.066667,0.0666667,3.00499e-06,1.00166e-06,1.12868e-09,0.000750001,1.66945e-12,1.66945e-12,1.09219e-13,0.000296207,0.00266587,0.000592424,0.00533182,0,1,0.1035,0.1035,0,0
1,-1.70707e-09,0.1,1,-1.70707e-09,1,0.1,0.1,0.0666667,0.0666666,5.12121e-09,1.70707e-09,1.12879e-09,0.000750001,1.66866e-12,1.66866e-12,8.87648e-14,0.000295931,0.00266338,0.000592093,0.00532884,0,1,0.108,0.108,0,0
1,-9.96025e-07,0.1,1,-9.96021e-07,1,0.1,0.1,0.066667,0.0666667,2.98806e-06,9.96021e-07,1.12244e-09,0.000750001,1.65868e-12,1.65868e-12,8.40428e-14,0.000295782,0.00266204,0.000591883,0.00532695,0,1,0.1125,0.1125,0,0
1,1.74589e-09,0.1,1,1.74588e-09,1,0.1,0.1,0.0666667,0.0666666,5.23765e-09,1.74588e-09,1.12249e-09,0.000750001,1.65977e-12,1.65977e-12,1.24421e-13,0.000295947,0.00266353,0.00059223,0.00533007,0,1,0.117,0.117,0,0
1,-1.0022e-06,0.1,1,-1.0022e-06,1,0.1,0.1,0.066667,0.0666667,3.00659e-06,1.0022e-06,1.12944e-09,0.000750001,1.67071e-12,1.67071e-12,1.57235e-13,0.000296216,0.00266594,0.000592456,0.00533211,0,1,0.1215,0.1215,0,0
1,-1.69918e-09,0.1,1,-1.69918e-09,1,0.1,0.1,0.0666667,0.0666666,5.09754e-09,1.69918e-09,1.12938e-09,0.000750001,1.6704e-12,1.6704e-12,1.62794e-13,0.000296202,0.00266582,0.000592372,0.00533135,0,1,0.126,0.126,0,0
1,-9.95693e-07,0.1,1,-9.95688e-07,1,0.1,0.1,0.066667,0.0666667,2.98706e-06,9.95688e-07,1.12206e-09,0.000750001,1.6583e-12,1.6583e-12,1.34839e-13,0.000295799,0.00266219,0.000591926,0.00532734,0,1,0.1305,0.1305,0,0
1,1.54365e-09,0.1,1,1.54365e-09,1,0.1,0.1,0.0666667,0.0666666,4.63096e-09,1.54365e-09,1.12189e-09,0.000750001,1.65815e-12,1.65815e-12,1.29405e-13,0.000295622,0.0026606,0.000591969,0.00532772,0,1,0.135,0.135,0,0
1,-1.00224e-06,0.100001,1,-1.00224e-06,1,0.100001,0.100001,0.066667,0.0666667,3.00671e-06,1.00224e-06,1.12925e-09,0.000750001,1.67111e-12,1.67111e-12,1.4292e-13,0.000296165,0.00266549,0.000592701,0.00533431,0,1,0.1395,0.1395,0,0
1,-1.26046e-09,0.1,1,-1.26045e-09,1,0.1,0.1,0.0666667,0.0666666,3.78137e-09,1.26045e-09,1.12893e-09,0.000750001,1.67157e-12,1.67157e-12,1.46606e-13,0.000296569,0.00266912,0.000593028,0.00533726,0,1,0.144,0.144,0,0
1,-9.96045e-07,0.1,1,-9.9604e-07,1,0.1,0.1,0.066667,0.0666667,2.98812e-06,9.9604e-07,1.12196e-09,0.000750001,1.65942e-12,1.65942e-12,1.35517e-13,0.000295889,0.002663,0.000592377,0.0053314,0,1,0.1485,0.1485,0,0
1,8.36951e-10,0.1,1,8.3695e-10,1,0.1,0.1,0.0666667,0.0666666,2.51085e-09,8.3695e-10,1.12149e-09,0.000750001,1.65743e-12,1.65743e-12,1.27602e-13,0.000295233,0.0026571,0.000591924,0.00532732,0,1,0.153,0.153,0,0
1,-1.00141e-06,0.100001,1,-1.00141e-06,1,0.100001,0.100001,0.066667,0.0666667,3.00422e-06,1.00141e-06,1.12753e-09,0.000750001,1.66936e-12,1.66936e-12,1.74414e-13,0.000296031,0.00266428,0.000592972,0.00533675,0,1,0.1575,0.1575,0,0
