"alA_l","alrhoA_l","alrhouA_l","alrhoEA_l","alrhoA_g","alrhouA_g","alrhoEA_g","area_aux","alpha_aux_l","velocity_x_aux_l","density_aux_l","internal_energy_aux_l","pressure_aux_l","temperature_aux_l","norm_velocity_aux_l","velocity_x_aux_g","density_aux_g","internal_energy_aux_g","pressure_aux_g","temperature_aux_g","norm_velocity_aux_g","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.75,675.941,9340.71,5.17328e+08,3.69997,51.2722,9.18251e+06,1.5,0.5,13.8188,901.255,6.89685e+08,955765,453.02,13.8188,13.8575,4.93329,1.22429e+07,958164,434.311,13.8575,1,1,0,0,0
0.74807,674.223,9341.7,5.15972e+08,3.70251,51.3014,9.18646e+06,1.49901,0.499042,13.8555,901.283,6.89651e+08,956264,453.006,13.8555,13.8558,4.93048,1.22328e+07,956272,433.701,13.8558,2,2,0.01,0,0
0.746851,673.103,9339.24,5.15156e+08,3.6945,51.2612,9.16695e+06,1.49606,0.499213,13.8749,901.255,6.89684e+08,956620,453.02,13.8749,13.875,4.93122,1.22351e+07,956622,433.795,13.875,3,3,0.02,0,0
0.744007,670.561,9342.02,5.1317e+08,3.68243,51.3028,9.13638e+06,1.49114,0.49895,13.9316,901.283,6.89651e+08,955778,453.006,13.9316,13.9318,4.92872,1.2228e+07,955778,433.632,13.9318,4,4,0.03,0,0
0.740787,667.638,9337.69,5.10974e+08,3.66452,51.2533,9.0922e+06,1.48429,0.499085,13.9862,901.255,6.89684e+08,955924,453.02,13.9862,13.9864,4.92871,1.22284e+07,955926,433.7,13.9864,5,5,0.04,0,0
0.73602,663.362,9342.87,5.07662e+08,3.64276,51.306,9.03723e+06,1.47553,0.498818,14.0841,901.283,6.89651e+08,954803,453.006,14.0841,14.0844,4.92592,1.22201e+07,954805,433.436,14.0844,6,6,0.05,0,0
0.730833,658.667,9336.51,5.0411e+08,3.61536,51.2484,8.96936e+06,1.46489,0.4989,14.1749,901.255,6.89684e+08,954726,453.02,14.1749,14.1752,4.92519,1.22184e+07,954729,433.466,14.1752,7,7,0.06,0,0
0.724219,652.726,9344.18,4.99525e+08,3.58418,51.3111,8.89066e+06,1.45241,0.498632,14.3156,901.282,6.8965e+08,953310,453.005,14.3156,14.316,4.92201,1.22087e+07,953312,433.103,14.316,8,8,0.07,0,0
0.717142,646.327,9335.73,4.94669e+08,3.54779,51.2469,8.80033e+06,1.43815,0.498655,14.4443,901.254,6.89684e+08,952986,453.02,14.4443,14.4447,4.92058,1.2205e+07,952990,433.082,14.4447,9,9,0.08,0,0
0.708779,638.809,9345.86,4.88878e+08,3.50753,51.3175,8.69881e+06,1.42216,0.498381,14.6301,901.281,6.8965e+08,951247,453.005,14.6301,14.6307,4.91674,1.21932e+07,951251,432.63,14.6307,10,10,0.09,0,0
0.699924,630.808,9335.37,4.82795e+08,3.4628,51.2483,8.58757e+06,1.40451,0.498341,14.7991,901.252,6.89684e+08,950645,453.019,14.7991,14.7997,4.91467,1.21876e+07,950651,432.539,14.7997,11,11,0.1,0,0
0.689928,621.818,9347.83,4.75879e+08,3.41396,51.3246,8.46457e+06,1.38526,0.49805,15.0331,901.28,6.8965e+08,948544,453.005,15.0331,15.0338,4.90985,1.21729e+07,948549,432.006,15.0338,12,12,0.11,0,0
0.679436,612.342,9335.39,4.68667e+08,3.36162,51.2518,8.33417e+06,1.36448,0.497944,15.2454,901.25,6.89684e+08,947622,453.019,15.2454,15.2462,4.90712,1.21652e+07,947629,431.827,15.2462,13,13,0.12,0,0
0.667945,602.004,9349.94,4.6072e+08,3.30491,51.3325,8.19148e+06,1.34227,0.497622,15.5314,901.278,6.8965e+08,945102,453.004,15.5314,15.5322,4.90103,1.2147e+07,945109,431.214,15.5322,14,14,0.13,0,0
0.655982,591.203,9335.67,4.52494e+08,3.24572,51.2562,8.04385e+06,1.31871,0.497442,15.791,901.248,6.89683e+08,943807,453.018,15.791,15.7919,4.8975,1.21368e+07,943816,430.935,15.7919,15,15,0.14,0,0
0.643155,579.66,9352.03,4.43626e+08,3.182,51.3408,7.88364e+06,1.29389,0.49707,16.1337,901.276,6.89649e+08,940797,453.003,16.1337,16.1347,4.88984,1.21143e+07,940806,430.233,16.1347,16,16,0.15,0,0
0.629911,567.705,9336.09,4.34516e+08,3.11682,51.2609,7.72089e+06,1.26791,0.496809,16.4453,901.246,6.89683e+08,939060,453.017,16.4453,16.4465,4.88528,1.2101e+07,939071,429.84,16.4465,17,17,0.16,0,0
0.615922,555.114,9353.9,4.24848e+08,3.04707,51.3484,7.54559e+06,1.24088,0.49636,16.8504,901.274,6.89647e+08,935466,453.002,16.8504,16.8518,4.87566,1.20731e+07,935478,429.04,16.8518,18,18,0.17,0,0
0.601612,542.199,9336.61,4.15001e+08,2.97684,51.2653,7.37005e+06,1.21289,0.496016,17.2199,901.243,6.89681e+08,933200,453.016,17.2199,17.2214,4.86986,1.20561e+07,933215,428.512,17.2214,19,19,0.18,0,0
0.586652,528.732,9355.4,4.04664e+08,2.90212,51.355,7.18233e+06,1.18406,0.495457,17.694,901.271,6.89645e+08,928904,453,17.694,17.6957,4.85783,1.20217e+07,928920,427.596,17.6957,20,20,0.19,0,0
0.571507,515.065,9337.14,3.94241e+08,2.82782,51.2682,6.99644e+06,1.15451,0.495022,18.1281,901.24,6.8968e+08,926000,453.014,18.1281,18.1299,4.85044,1.19999e+07,926018,426.91,18.1299,21,21,0.2,0,0
0.555781,500.908,9356.44,3.83378e+08,2.74934,51.3605,6.79926e+06,1.12434,0.494316,18.679,901.268,6.89643e+08,920853,452.998,18.679,18.681,4.8356,1.19578e+07,920873,425.842,18.681,22,22,0.21,0,0
0.540039,486.703,9337.6,3.72542e+08,2.67196,51.2689,6.60553e+06,1.09369,0.493777,19.1854,901.237,6.89677e+08,917172,453.012,19.1854,19.1877,4.82607,1.19299e+07,917195,424.978,19.1877,23,23,0.22,0,0
0.523773,472.058,9357.06,3.61307e+08,2.59099,51.3647,6.40194e+06,1.06267,0.492886,19.8218,901.265,6.89639e+08,910989,452.995,19.8218,19.8244,4.80798,1.18788e+07,911016,423.703,19.8244,24,24,0.23,0,0
0.50767,457.529,9337.91,3.50222e+08,2.5116,51.2676,6.20303e+06,1.0314,0.492216,20.4095,901.233,6.89674e+08,906358,453.009,20.4095,20.4123,4.79565,1.18431e+07,906389,422.635,20.4123,25,25,0.24,0,0
