"beta_max_aux","beta_aux","PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","mu_max_aux_l","kappa_max_aux_l","mu_aux_l","kappa_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","smooth_jump_grad_press_aux_l","smooth_jump_grad_dens_aux_l","mu_max_aux_g","kappa_max_aux_g","mu_aux_g","kappa_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","smooth_jump_grad_press_aux_g","smooth_jump_grad_dens_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
0.0691819,0.00189693,957165,957216,901.269,453.013,0.057901,1.09523e+08,0,84455.7,0,0,766375,2.70382e+06,0.0691858,8.14682,4.15627e-05,4.15627e-05,60284.6,0.127672,5.67273,61342.5,2.11665,0.0692833,2.70341,0.00129889,0.00129889,297242,0.687569,120245,0.359931,0,1,1
0.069326,0.00261776,956447,956447,901.269,453.013,0.0579465,1.09553e+08,0,84522,0,0,766376,2.70382e+06,0.069326,8.14696,8.52804e-05,8.52804e-05,252885,0.18656,11.2811,167446,4.92885,0.0693271,2.70267,0.00237909,0.00237909,489103,1.33724,255646,0.820623,0,2,2
0.0695164,0.00163076,956200,956200,901.269,453.013,0.0579518,1.09539e+08,0,84529.7,0,0,766376,2.70382e+06,0.0695164,8.14715,9.62657e-05,9.62657e-05,363064,0.114616,11.2384,225966,5.61961,0.069517,2.70276,0.0026503,0.0026503,362463,1.22105,255168,0.897916,0,3,3
0.0697945,0.00159076,955853,955852,901.269,453.013,0.0579592,1.09519e+08,0,84540.5,0,0,766376,2.70382e+06,0.0697945,8.14743,9.65878e-05,9.65878e-05,367785,0.112304,11.239,240299,5.61497,0.0697954,2.70289,0.0025157,0.0025157,368054,1.1649,240220,0.858201,0,4,4
0.0701757,0.0015595,955365,955365,901.269,453.013,0.0579669,1.09491e+08,0,84551.6,0,0,766376,2.70382e+06,0.0701757,8.14781,9.7137e-05,9.7137e-05,371442,0.108261,11.2426,241625,5.61566,0.0701769,2.70297,0.00249723,0.00249723,371713,1.10726,241657,0.826448,0,5,5
0.0706474,0.00148159,954767,954767,901.269,453.013,0.0579776,1.09457e+08,0,84567.1,0,0,766377,2.70382e+06,0.0706474,8.14828,9.78259e-05,9.78259e-05,376942,0.103815,11.2488,243160,5.61687,0.070649,2.70309,0.00237333,0.00237333,377218,1.0592,243198,0.795661,0,6,6
0.0712262,0.00144403,954020,954021,901.268,453.013,0.0579884,1.09413e+08,0,84582.7,0,0,766378,2.70382e+06,0.0712262,8.14886,9.86776e-05,9.86776e-05,380271,0.098366,11.2557,244892,5.6189,0.071228,2.70317,0.00238498,0.00238498,380555,1.00768,244936,0.766407,0,7,7
0.0718998,0.00134607,953152,953151,901.268,453.013,0.0580026,1.09364e+08,0,84603.3,0,0,766380,2.70382e+06,0.0718997,8.14953,9.96936e-05,9.96936e-05,386539,0.0929979,11.2701,246839,5.62236,0.0719019,2.70326,0.00225355,0.00225355,386828,0.979023,246889,0.740396,0,8,8
0.072686,0.0013081,952119,952121,901.267,453.012,0.0580172,1.09303e+08,0,84624.4,0,0,766381,2.70383e+06,0.072686,8.15031,0.000100887,0.000100887,389797,0.0868013,11.2826,249037,5.62711,0.0726885,2.70332,0.00231529,0.00231529,390093,0.952475,249094,0.719887,0,9,9
0.073573,0.00121169,950950,950951,901.267,453.012,0.0580354,1.09237e+08,0,84650.7,0,0,766383,2.70383e+06,0.073573,8.1512,0.00010226,0.00010226,397244,0.0814638,11.3038,251503,5.63335,0.0735759,2.70339,0.00219623,0.00219623,397544,0.959924,251566,0.707096,0,10,10
