"PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","beta_aux","beta_max_aux","jump_grad_alpha_aux","mu_aux_l","mu_max_aux_l","kappa_aux_l","kappa_max_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","jump_grad_press_smooth_aux_l","jump_grad_dens_smooth_aux_l","mu_aux_g","kappa_aux_g","mu_max_aux_g","kappa_max_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","jump_grad_press_smooth_aux_g","jump_grad_dens_smooth_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
100000,100000,100,1000,0,0,0,0,0,0,8500,12500,0.000614407,0.2,0.0204391,1.83392e-10,0.2,1.83392e-10,0.274833,6.15939e-05,0,5.37691e-07,9.81824e-05,4.20378e-07,2.04639e-07,6.82131e-09,0.2,1.29545,0.00205312,2.35961e-08,0.00147177,1.73418e-08,0,1,1
100000,100000,100,1000,0,0,0,0,0,0,8500,12500,0.000687593,0.2,0.041156,4.0213e-10,0.2,4.0213e-10,0.274833,0.000252012,0,9.06493e-07,0.000209824,8.97463e-07,4.33848e-07,1.44616e-08,0.2,1.29545,0.00401342,5.00123e-08,0.00338116,4.21126e-08,0,2,2
100000,100000,100,1000,0,0,0,0,0,0,8500,12500,0.00063387,0.2,0.0415024,4.43223e-10,0.2,4.43223e-10,0.274833,0.00050156,0,6.34749e-07,0.000282079,8.53331e-07,4.12833e-07,1.37611e-08,0.2,1.29545,0.00386267,5.4094e-08,0.00374174,5.17208e-08,0,3,3
100000,100000,100,1000,0,0,0,0,0,0,8500,12500,0.000691888,0.2,0.0418584,4.25298e-10,0.2,4.25298e-10,0.274833,0.000685092,0,4.80886e-07,0.000463407,6.57447e-07,3.18945e-07,1.06315e-08,0.2,1.29545,0.00369963,5.77803e-08,0.00358996,5.58344e-08,0,4,4
100000,100000,100,1000,0,0,0,0,0,0,8500,12500,0.000634169,0.2,0.0412447,4.077e-10,0.2,4.077e-10,0.274833,0.000927562,0,2.45833e-07,0.00071979,4.38549e-07,2.13967e-07,7.13223e-09,0.2,1.29545,0.00357006,6.0587e-08,0.00344687,5.92306e-08,0,5,5
100000,100000,100,1000,0,0,0,0,0,0,8500,12500,0.000641427,0.2,0.0398436,3.90605e-10,0.2,3.90605e-10,0.274833,0.00110004,0,5.6787e-08,0.00093894,2.25251e-07,1.11616e-07,3.72053e-09,0.2,1.29545,0.0034439,6.19698e-08,0.00331511,6.16014e-08,0,6,6
100000,100000,100,1000,0,0,0,0,0,0,8500,12500,0.000583836,0.2,0.0377619,3.74308e-10,0.2,3.74308e-10,0.274833,0.00107477,0,1.38078e-07,0.0010579,1.46158e-07,7.36195e-08,2.45398e-09,0.2,1.29545,0.00334349,6.22044e-08,0.00319698,6.27462e-08,0,7,7
100000,100000,100,1000,0,0,0,0,0,0,8500,12500,0.000541444,0.2,0.0345485,3.58954e-10,0.2,3.58954e-10,0.274833,0.00103296,0,3.2663e-07,0.00108206,2.29185e-07,1.13357e-07,3.77855e-09,0.2,1.29545,0.00326578,6.04776e-08,0.00309482,6.23858e-08,0,8,8
100000,100000,100,1000,0,0,0,0,0,0,8500,12500,0.000467336,0.2,0.0305353,3.48172e-10,0.2,3.48172e-10,0.274833,0.000818003,0,4.43688e-07,0.000987701,3.71777e-07,1.81595e-07,6.05317e-09,0.2,1.29545,0.00320185,5.70054e-08,0.00300894,6.02654e-08,0,9,9
100000,100000,100,1000,0,0,0,0,0,0,8500,12500,0.000385103,0.2,0.0253991,3.40952e-10,0.2,3.40952e-10,0.274833,0.000488853,0,5.36742e-07,0.000768444,5.04177e-07,2.44841e-07,8.16137e-09,0.2,1.29545,0.00317817,5.12018e-08,0.00294005,5.61549e-08,0,10,10
100000,100000,100,1000,0,0,0,0,0,0,8500,12500,0.000283739,0.2,0.0193387,3.40748e-10,0.2,3.40748e-10,0.274833,0.000214934,0,6.58762e-07,0.000494287,6.2352e-07,3.01714e-07,1.00571e-08,0.2,1.29545,0.00315848,4.32161e-08,0.00288921,4.98461e-08,0,11,11
