"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_aux_g","mach_aux_l","pressure_aux_g","pressure_aux_l","total_energy_aux_g","total_energy_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.9,0.9,0.1,90,5500,675000,10,9000,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,1,1,0,0,0
0.900074,0.900074,0.0999256,90.0074,5495.91,675056,9.99256,9000.74,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,2,2,0.004,0,0
0.899984,0.899984,0.100016,89.9984,5500.87,674988,10.0016,8999.84,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,3,3,0.008,0,0
0.90006,0.90006,0.0999399,90.006,5496.7,675045,9.99399,9000.6,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,4,4,0.012,0,0
0.89997,0.89997,0.10003,89.997,5501.66,674977,10.003,8999.7,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,5,5,0.016,0,0
0.900047,0.900047,0.0999528,90.0047,5497.4,675035,9.99528,9000.47,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,6,6,0.02,0,0
0.899965,0.899965,0.100035,89.9965,5501.93,674974,10.0035,8999.65,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,7,7,0.024,0,0
0.900038,0.900038,0.0999624,90.0038,5497.93,675028,9.99624,9000.38,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,8,8,0.028,0,0
0.899969,0.899969,0.100031,89.9969,5501.72,674977,10.0031,8999.69,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,9,9,0.032,0,0
0.900028,0.900028,0.0999724,90.0028,5498.48,675021,9.99724,9000.28,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,10,10,0.036,0,0
0.899979,0.899979,0.100021,89.9979,5501.17,674984,10.0021,8999.79,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,11,11,0.04,0,0
0.900015,0.900015,0.0999853,90.0015,5499.19,675011,9.99853,9000.15,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,12,12,0.044,0,0
0.899993,0.899993,0.100007,89.9993,5500.39,674995,10.0007,8999.93,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,13,13,0.048,0,0
0.899999,0.899999,0.100001,89.9999,5500.07,674999,10.0001,8999.99,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,14,14,0.052,0,0
0.90001,0.90001,0.0999901,90.001,5499.46,675007,9.99901,9000.1,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,15,15,0.056,0,0
0.899982,0.899982,0.100018,89.9982,5501.01,674986,10.0018,8999.82,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,16,16,0.06,0,0
0.900026,0.900026,0.0999739,90.0026,5498.56,675020,9.99739,9000.26,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,17,17,0.064,0,0
0.899967,0.899967,0.100033,89.9967,5501.79,674976,10.0033,8999.67,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,18,18,0.068,0,0
0.900037,0.900037,0.0999627,90.0037,5497.95,675028,9.99627,9000.37,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,19,19,0.072,0,0
0.89996,0.89996,0.10004,89.996,5502.18,674970,10.004,8999.6,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,20,20,0.076,0,0
0.900039,0.900039,0.0999605,90.0039,5497.83,675030,9.99605,9000.39,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,21,21,0.08,0,0
0.899964,0.899964,0.100036,89.9964,5502,674973,10.0036,8999.64,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,22,22,0.084,0,0
0.900031,0.900031,0.0999694,90.0031,5498.32,675023,9.99694,9000.31,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,23,23,0.088,0,0
0.899978,0.899978,0.100022,89.9978,5501.22,674983,10.0022,8999.78,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,24,24,0.092,0,0
0.900012,0.900012,0.0999882,90.0012,5499.35,675009,9.99882,9000.12,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,25,25,0.096,0,0
0.9,0.9,0.1,90,5500,675000,10,9000,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,26,26,0.1,0,0
0.899988,0.899988,0.100012,89.9988,5500.67,674991,10.0012,8999.88,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,27,27,0.104,0,0
0.900024,0.900024,0.0999763,90.0024,5498.7,675018,9.99763,9000.24,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,28,28,0.108,0,0
0.899967,0.899967,0.100033,89.9967,5501.82,674975,10.0033,8999.67,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,29,29,0.112,0,0
0.900039,0.900039,0.0999607,90.0039,5497.84,675029,9.99607,9000.39,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,30,30,0.116,0,0
0.899959,0.899959,0.100041,89.9959,5502.28,674969,10.0041,8999.59,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,31,31,0.12,0,0
0.900039,0.900039,0.0999609,90.0039,5497.85,675029,9.99609,9000.39,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,32,32,0.124,0,0
0.899968,0.899968,0.100032,89.9968,5501.78,674976,10.0032,8999.68,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,33,33,0.128,0,0
0.900021,0.900021,0.0999785,90.0021,5498.82,675016,9.99785,9000.21,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,34,34,0.132,0,0
0.899992,0.899992,0.100008,89.9992,5500.43,674994,10.0008,8999.92,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,35,35,0.136,0,0
0.899993,0.899993,0.100007,89.9993,5500.41,674994,10.0007,8999.93,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,36,36,0.14,0,0
0.900022,0.900022,0.0999781,90.0022,5498.79,675016,9.99781,9000.22,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,37,37,0.144,0,0
