kappa,mu,mu_max,ObjectId,GlobalElementId,PedigreeElementId
3.92E-11,3.92E-11,85.5877,0,1,1
3.93E-11,3.93E-11,85.5877,0,2,2
3.94E-11,3.94E-11,85.5877,0,3,3
3.95E-11,3.95E-11,85.5877,0,4,4
3.96E-11,3.96E-11,85.5877,0,5,5
3.97E-11,3.97E-11,85.5877,0,6,6
3.98E-11,3.98E-11,85.5877,0,7,7
3.99E-11,3.99E-11,85.5877,0,8,8
3.99E-11,3.99E-11,85.5877,0,9,9
4.00E-11,4.00E-11,85.5877,0,10,10
3.22E-05,3.22E-05,85.5877,1,11,11
3.22E-05,3.22E-05,85.5877,1,12,12
3.23E-05,3.23E-05,85.5877,1,13,13
3.23E-05,3.23E-05,85.5877,1,14,14
3.23E-05,3.23E-05,85.5878,1,15,15
3.23E-05,3.23E-05,85.5878,1,16,16
3.23E-05,3.23E-05,85.5878,1,17,17
3.23E-05,3.23E-05,85.5878,1,18,18
3.23E-05,3.23E-05,85.5878,1,19,19
3.24E-05,3.24E-05,85.5878,1,20,20
3.24E-05,3.24E-05,85.5878,1,21,21
3.24E-05,3.24E-05,85.5879,1,22,22
3.24E-05,3.24E-05,85.5879,1,23,23
3.24E-05,3.24E-05,85.5879,1,24,24
3.24E-05,3.24E-05,85.5879,1,25,25
3.24E-05,3.24E-05,85.5879,1,26,26
3.25E-05,3.25E-05,85.5879,1,27,27
3.25E-05,3.25E-05,85.5879,1,28,28
3.25E-05,3.25E-05,85.588,1,29,29
3.25E-05,3.25E-05,85.588,1,30,30
3.25E-05,3.25E-05,85.588,1,31,31
3.25E-05,3.25E-05,85.588,1,32,32
3.25E-05,3.25E-05,85.588,1,33,33
3.26E-05,3.26E-05,85.588,1,34,34
3.26E-05,3.26E-05,85.588,1,35,35
3.26E-05,3.26E-05,85.5881,1,36,36
3.26E-05,3.26E-05,85.5881,1,37,37
3.26E-05,3.26E-05,85.5881,1,38,38
3.26E-05,3.26E-05,85.5881,1,39,39
3.26E-05,3.26E-05,85.5881,1,40,40
3.26E-05,3.26E-05,85.5881,1,41,41
3.27E-05,3.27E-05,85.5881,1,42,42
3.27E-05,3.27E-05,85.5882,1,43,43
3.27E-05,3.27E-05,85.5882,1,44,44
3.27E-05,3.27E-05,85.5882,1,45,45
3.27E-05,3.27E-05,85.5882,1,46,46
3.27E-05,3.27E-05,85.5882,1,47,47
3.27E-05,3.27E-05,85.5882,1,48,48
3.28E-05,3.28E-05,85.5882,1,49,49
3.28E-05,3.28E-05,85.5883,1,50,50
7.85E-12,7.85E-12,85.5883,2,51,51
1.60E-11,1.60E-11,85.5883,2,52,52
8.23E-12,8.23E-12,85.5883,2,53,53
1.45E-11,1.45E-11,85.5883,2,54,54
1.05E-11,1.05E-11,85.5883,2,55,55
1.12E-11,1.12E-11,85.5883,2,56,56
1.42E-11,1.42E-11,85.5883,2,57,57
6.92E-12,6.92E-12,85.5883,2,58,58
1.83E-11,1.83E-11,85.5883,2,59,59
3.09E-12,3.09E-12,85.5883,2,60,60
