"kappa","mu","mu_max","ObjectId","GlobalElementId","PedigreeElementId"
3.22329e-05,3.22329e-05,85.5877,1,11,11
3.2248e-05,3.2248e-05,85.5877,1,12,12
3.22602e-05,3.22602e-05,85.5877,1,13,13
3.22753e-05,3.22753e-05,85.5877,1,14,14
3.22875e-05,3.22875e-05,85.5878,1,15,15
3.23026e-05,3.23026e-05,85.5878,1,16,16
3.23149e-05,3.23149e-05,85.5878,1,17,17
3.233e-05,3.233e-05,85.5878,1,18,18
3.23423e-05,3.23423e-05,85.5878,1,19,19
3.23574e-05,3.23574e-05,85.5878,1,20,20
3.23697e-05,3.23697e-05,85.5878,1,21,21
3.23849e-05,3.23849e-05,85.5879,1,22,22
3.23972e-05,3.23972e-05,85.5879,1,23,23
3.24124e-05,3.24124e-05,85.5879,1,24,24
3.24247e-05,3.24247e-05,85.5879,1,25,25
3.24399e-05,3.24399e-05,85.5879,1,26,26
3.24522e-05,3.24522e-05,85.5879,1,27,27
3.24675e-05,3.24675e-05,85.5879,1,28,28
3.24798e-05,3.24798e-05,85.588,1,29,29
3.24951e-05,3.24951e-05,85.588,1,30,30
3.25074e-05,3.25074e-05,85.588,1,31,31
3.25228e-05,3.25228e-05,85.588,1,32,32
3.25351e-05,3.25351e-05,85.588,1,33,33
3.25504e-05,3.25504e-05,85.588,1,34,34
3.25628e-05,3.25628e-05,85.588,1,35,35
3.25782e-05,3.25782e-05,85.5881,1,36,36
3.25906e-05,3.25906e-05,85.5881,1,37,37
3.26059e-05,3.26059e-05,85.5881,1,38,38
3.26183e-05,3.26183e-05,85.5881,1,39,39
3.26338e-05,3.26338e-05,85.5881,1,40,40
3.26462e-05,3.26462e-05,85.5881,1,41,41
3.26616e-05,3.26616e-05,85.5881,1,42,42
3.2674e-05,3.2674e-05,85.5882,1,43,43
3.26895e-05,3.26895e-05,85.5882,1,44,44
3.27019e-05,3.27019e-05,85.5882,1,45,45
3.27174e-05,3.27174e-05,85.5882,1,46,46
3.27299e-05,3.27299e-05,85.5882,1,47,47
3.27454e-05,3.27454e-05,85.5882,1,48,48
3.27579e-05,3.27579e-05,85.5882,1,49,49
3.27734e-05,3.27734e-05,85.5883,1,50,50
