"kappa","mu","mu_max","ObjectId","GlobalElementId","PedigreeElementId"
0.00365144,0.00365117,85.7847,1,11,11
0.00346931,0.00346905,86.1638,1,12,12
0.00329728,0.00329703,86.5224,1,13,13
0.00313253,0.0031323,86.8618,1,14,14
0.00297735,0.00297713,87.1831,1,15,15
0.00282829,0.00282808,87.4872,1,16,16
0.00268839,0.00268819,87.7752,1,17,17
0.00255347,0.00255328,88.048,1,18,18
0.00242745,0.00242727,88.3063,1,19,19
0.00230527,0.00230509,88.5511,1,20,20
0.00219185,0.00219168,88.783,1,21,21
0.00208111,0.00208095,89.0028,1,22,22
0.00197913,0.00197898,89.2111,1,23,23
0.00187868,0.00187855,89.4085,1,24,24
0.0017871,0.00178697,89.5957,1,25,25
0.0016959,0.00169577,89.7731,1,26,26
0.00161376,0.00161364,89.9414,1,27,27
0.00153085,0.00153073,90.101,1,28,28
0.00145731,0.0014572,90.2523,1,29,29
0.00138182,0.00138171,90.3959,1,30,30
0.0013161,0.001316,90.532,1,31,31
0.00124725,0.00124716,90.6612,1,32,32
0.00118866,0.00118858,90.7837,1,33,33
0.00112576,0.00112567,90.9,1,34,34
0.00107366,0.00107358,91.0103,1,35,35
0.00101606,0.00101598,91.1149,1,36,36
0.000969884,0.000969813,91.2142,1,37,37
0.000917008,0.00091694,91.3085,1,38,38
0.000876244,0.00087618,91.3979,1,39,39
0.000827576,0.000827515,91.4828,1,40,40
0.000791756,0.000791698,91.5634,1,41,41
0.000746826,0.000746771,91.6399,1,42,42
0.000715529,0.000715477,91.7125,1,43,43
0.000673914,0.000673864,91.7814,1,44,44
0.00064676,0.000646713,91.8468,1,45,45
0.000608076,0.000608031,91.9089,1,46,46
0.000584724,0.000584681,91.9679,1,47,47
0.000548624,0.000548584,92.0238,1,48,48
0.000528764,0.000528725,92.077,1,49,49
0.000494937,0.0004949,92.1274,1,50,50
