Tw,area,enthalpy,heat_flux_perimeter,heat_transfer_coefficient,hydraulic_diameter,pressure,rho,rhoA,rhoE,rhoEA,rhoe,rhou,rhouA,temperature,u,GlobalNodeId,PedigreeNodeId,Points:0,Points:1,Points:2
0,0.0001,998514,0.0354491,0,0.0112838,6.63E+06,809.18,0.080918,8.01E+08,80134.3,8.01E+08,1617.4,0.16174,507.431,1.99881,1,1,0,0,0
0,0.0001,998301,0.0354491,0,0.0112838,6.63E+06,809.26,0.080926,8.01E+08,80125,8.01E+08,1617.44,0.161744,507.381,1.99867,2,2,0.1,0,0
0,0.0001,998514,0.0354491,0,0.0112838,6.63E+06,809.18,0.080918,8.01E+08,80134.4,8.01E+08,1617.4,0.16174,507.431,1.99881,3,3,0.2,0,0
0,0.0001,998300,0.0354491,0,0.0112838,6.63E+06,809.26,0.080926,8.01E+08,80125,8.01E+08,1617.44,0.161744,507.381,1.99867,4,4,0.3,0,0
0,0.0001,998514,0.0354491,0,0.0112838,6.63E+06,809.18,0.080918,8.01E+08,80134.4,8.01E+08,1617.4,0.16174,507.431,1.99881,5,5,0.4,0,0
0,0.0001,998300,0.0354491,0,0.0112838,6.63E+06,809.26,0.080926,8.01E+08,80125,8.01E+08,1617.44,0.161744,507.381,1.99867,6,6,0.5,0,0
0,0.0001,998514,0.0354491,0,0.0112838,6.63E+06,809.18,0.080918,8.01E+08,80134.4,8.01E+08,1617.4,0.16174,507.431,1.99881,7,7,0.6,0,0
0,0.0001,998300,0.0354491,0,0.0112838,6.63E+06,809.26,0.080926,8.01E+08,80125,8.01E+08,1617.44,0.161744,507.381,1.99867,8,8,0.7,0,0
0,0.0001,998515,0.0354491,0,0.0112838,6.63E+06,809.18,0.080918,8.01E+08,80134.4,8.01E+08,1617.4,0.16174,507.431,1.99881,9,9,0.8,0,0
0,0.0001,998300,0.0354491,0,0.0112838,6.63E+06,809.26,0.080926,8.01E+08,80125,8.01E+08,1617.44,0.161744,507.381,1.99867,10,10,0.9,0,0
0,0.0001,998515,0.0354491,0,0.0112838,6.63E+06,809.18,0.080918,8.01E+08,80134.4,8.01E+08,1617.4,0.16174,507.431,1.99881,11,11,1,0,0
600,0.0001,998515,0.0354491,10000,0.0112838,6.63E+06,809.18,0.080918,8.01E+08,80134.4,8.01E+08,1617.4,0.16174,507.431,1.99881,12,12,1,0,0
600,0.0001,1.02E+06,0.0354491,10000,0.0112838,6.62E+06,801.86,0.080186,8.10E+08,80987.5,8.10E+08,1617.44,0.161744,512.056,2.01711,13,13,1.1,0,0
600,0.0001,1.04E+06,0.0354491,10000,0.0112838,6.61E+06,795.027,0.0795027,8.18E+08,81783.8,8.18E+08,1617.46,0.161746,516.449,2.03447,14,14,1.2,0,0
600,0.0001,1.05E+06,0.0354491,10000,0.0112838,6.59E+06,788.64,0.078864,8.25E+08,82528.1,8.25E+08,1617.49,0.161749,520.624,2.05099,15,15,1.3,0,0
600,0.0001,1.07E+06,0.0354491,10000,0.0112838,6.58E+06,782.667,0.0782667,8.32E+08,83224.1,8.32E+08,1617.51,0.161751,524.59,2.06666,16,16,1.4,0,0
