Tw,area,enthalpy,heat_flux_perimeter,heat_transfer_coefficient,hydraulic_diameter,pressure,rho,rhoA,rhoE,rhoEA,rhoe,rhou,rhouA,temperature,u,GlobalNodeId,PedigreeNodeId,Points:0,Points:1,Points:2
0,0.0001,998407,0.0354491,0,0.0112838,1.17E+07,813.306,0.0813306,8.00E+08,80029.3,8.00E+08,1617.42,0.161742,507.406,1.9887,1,1,0,0,0
0,0.0001,998407,0.0354491,0,0.0112838,1.17E+07,813.306,0.0813306,8.00E+08,80029.3,8.00E+08,1617.42,0.161742,507.406,1.9887,2,2,0.1,0,0
0,0.0001,998407,0.0354491,0,0.0112838,1.17E+07,813.306,0.0813306,8.00E+08,80029.3,8.00E+08,1617.42,0.161742,507.406,1.9887,3,3,0.2,0,0
0,0.0001,998407,0.0354491,0,0.0112838,1.17E+07,813.306,0.0813306,8.00E+08,80029.3,8.00E+08,1617.42,0.161742,507.406,1.9887,4,4,0.3,0,0
0,0.0001,998407,0.0354491,0,0.0112838,1.17E+07,813.306,0.0813306,8.00E+08,80029.3,8.00E+08,1617.42,0.161742,507.406,1.9887,5,5,0.4,0,0
0,0.0001,998407,0.0354491,0,0.0112838,1.17E+07,813.306,0.0813306,8.00E+08,80029.3,8.00E+08,1617.42,0.161742,507.406,1.9887,6,6,0.5,0,0
0,0.0001,998407,0.0354491,0,0.0112838,1.17E+07,813.306,0.0813306,8.00E+08,80029.3,8.00E+08,1617.42,0.161742,507.406,1.9887,7,7,0.6,0,0
0,0.0001,998407,0.0354491,0,0.0112838,1.17E+07,813.306,0.0813306,8.00E+08,80029.3,8.00E+08,1617.42,0.161742,507.406,1.9887,8,8,0.7,0,0
0,0.0001,998407,0.0354491,0,0.0112838,1.17E+07,813.306,0.0813306,8.00E+08,80029.3,8.00E+08,1617.42,0.161742,507.406,1.9887,9,9,0.8,0,0
0,0.0001,998407,0.0354491,0,0.0112838,1.17E+07,813.306,0.0813306,8.00E+08,80029.3,8.00E+08,1617.42,0.161742,507.406,1.9887,10,10,0.9,0,0
0,0.0001,998407,0.0354491,0,0.0112838,1.17E+07,813.306,0.0813306,8.00E+08,80029.3,8.00E+08,1617.42,0.161742,507.406,1.9887,11,11,1,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.17E+07,813.306,0.0813306,8.00E+08,80029.3,8.00E+08,1617.42,0.161742,507.406,1.9887,12,12,1,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.16E+07,813.192,0.0813192,8.00E+08,80032.2,8.00E+08,1617.42,0.161742,507.406,1.98898,13,13,1.1,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.14E+07,813.077,0.0813077,8.00E+08,80035,8.00E+08,1617.42,0.161742,507.406,1.98926,14,14,1.2,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.13E+07,812.962,0.0812962,8.00E+08,80037.8,8.00E+08,1617.42,0.161742,507.406,1.98954,15,15,1.3,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.11E+07,812.848,0.0812848,8.00E+08,80040.6,8.00E+08,1617.42,0.161742,507.406,1.98982,16,16,1.4,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.10E+07,812.733,0.0812733,8.00E+08,80043.4,8.00E+08,1617.42,0.161742,507.406,1.9901,17,17,1.5,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.09E+07,812.619,0.0812619,8.00E+08,80046.2,8.00E+08,1617.42,0.161742,507.406,1.99038,18,18,1.6,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.07E+07,812.504,0.0812504,8.00E+08,80049.1,8.00E+08,1617.42,0.161742,507.406,1.99066,19,19,1.7,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.06E+07,812.389,0.0812389,8.01E+08,80051.9,8.01E+08,1617.42,0.161742,507.406,1.99094,20,20,1.8,0,0
