"Tw","area","enthalpy","heat_flux_perimeter","heat_transfer_coefficient","hydraulic_diameter","pressure","rho","rhoA","rhoE","rhoEA","rhoe","rhou","rhouA","temperature","u","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
600,0.0001,998407,0.0354491,0,0.0112838,1.17174e+07,813.306,0.0813306,8.00293e+08,80029.3,8.00292e+08,1617.42,0.161742,507.406,1.9887,12,12,1,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.15748e+07,813.192,0.0813192,8.00322e+08,80032.2,8.0032e+08,1617.42,0.161742,507.406,1.98898,13,13,1.1,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.14323e+07,813.077,0.0813077,8.0035e+08,80035,8.00348e+08,1617.42,0.161742,507.406,1.98926,14,14,1.2,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.12897e+07,812.962,0.0812962,8.00378e+08,80037.8,8.00376e+08,1617.42,0.161742,507.406,1.98954,15,15,1.3,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.11471e+07,812.848,0.0812848,8.00406e+08,80040.6,8.00404e+08,1617.42,0.161742,507.406,1.98982,16,16,1.4,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.10045e+07,812.733,0.0812733,8.00434e+08,80043.4,8.00433e+08,1617.42,0.161742,507.406,1.9901,17,17,1.5,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.08618e+07,812.619,0.0812619,8.00462e+08,80046.2,8.00461e+08,1617.42,0.161742,507.406,1.99038,18,18,1.6,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.07192e+07,812.504,0.0812504,8.00491e+08,80049.1,8.00489e+08,1617.42,0.161742,507.406,1.99066,19,19,1.7,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.05765e+07,812.389,0.0812389,8.00519e+08,80051.9,8.00517e+08,1617.42,0.161742,507.406,1.99094,20,20,1.8,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.04338e+07,812.274,0.0812274,8.00547e+08,80054.7,8.00545e+08,1617.42,0.161742,507.406,1.99122,21,21,1.9,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.02911e+07,812.16,0.081216,8.00575e+08,80057.5,8.00573e+08,1617.42,0.161742,507.406,1.99151,22,22,2,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.01483e+07,812.045,0.0812045,8.00603e+08,80060.3,8.00602e+08,1617.42,0.161742,507.406,1.99179,23,23,2.1,0,0
600,0.0001,998407,0.0354491,0,0.0112838,1.00056e+07,811.93,0.081193,8.00631e+08,80063.1,8.0063e+08,1617.42,0.161742,507.406,1.99207,24,24,2.2,0,0
600,0.0001,998407,0.0354491,0,0.0112838,9.86278e+06,811.815,0.0811815,8.0066e+08,80066,8.00658e+08,1617.42,0.161742,507.406,1.99235,25,25,2.3,0,0
600,0.0001,998407,0.0354491,0,0.0112838,9.71998e+06,811.701,0.0811701,8.00688e+08,80068.8,8.00686e+08,1617.42,0.161742,507.406,1.99263,26,26,2.4,0,0
600,0.0001,998407,0.0354491,0,0.0112838,9.57716e+06,811.586,0.0811586,8.00716e+08,80071.6,8.00714e+08,1617.42,0.161742,507.406,1.99291,27,27,2.5,0,0
600,0.0001,998407,0.0354491,0,0.0112838,9.43431e+06,811.471,0.0811471,8.00744e+08,80074.4,8.00743e+08,1617.42,0.161742,507.406,1.9932,28,28,2.6,0,0
600,0.0001,998407,0.0354491,0,0.0112838,9.29145e+06,811.356,0.0811356,8.00772e+08,80077.2,8.00771e+08,1617.42,0.161742,507.406,1.99348,29,29,2.7,0,0
600,0.0001,998407,0.0354491,0,0.0112838,9.14857e+06,811.241,0.0811241,8.00801e+08,80080.1,8.00799e+08,1617.42,0.161742,507.406,1.99376,30,30,2.8,0,0
600,0.0001,998407,0.0354491,0,0.0112838,9.00567e+06,811.126,0.0811126,8.00829e+08,80082.9,8.00827e+08,1617.42,0.161742,507.406,1.99404,31,31,2.9,0,0
600,0.0001,998407,0.0354491,0,0.0112838,8.86274e+06,811.011,0.0811011,8.00857e+08,80085.7,8.00855e+08,1617.42,0.161742,507.406,1.99432,32,32,3,0,0
600,0.0001,998407,0.0354491,0,0.0112838,8.7198e+06,810.897,0.0810897,8.00885e+08,80088.5,8.00884e+08,1617.42,0.161742,507.406,1.99461,33,33,3.1,0,0
600,0.0001,998407,0.0354491,0,0.0112838,8.57683e+06,810.782,0.0810782,8.00913e+08,80091.3,8.00912e+08,1617.42,0.161742,507.406,1.99489,34,34,3.2,0,0
600,0.0001,998407,0.0354491,0,0.0112838,8.43385e+06,810.667,0.0810667,8.00942e+08,80094.2,8.0094e+08,1617.42,0.161742,507.406,1.99517,35,35,3.3,0,0
600,0.0001,998407,0.0354491,0,0.0112838,8.29084e+06,810.552,0.0810552,8.0097e+08,80097,8.00968e+08,1617.42,0.161742,507.406,1.99546,36,36,3.4,0,0
600,0.0001,998407,0.0354491,0,0.0112838,8.14782e+06,810.437,0.0810437,8.00998e+08,80099.8,8.00996e+08,1617.42,0.161742,507.406,1.99574,37,37,3.5,0,0
600,0.0001,998407,0.0354491,0,0.0112838,8.00477e+06,810.322,0.0810322,8.01026e+08,80102.6,8.01025e+08,1617.42,0.161742,507.406,1.99602,38,38,3.6,0,0
600,0.0001,998407,0.0354491,0,0.0112838,7.86171e+06,810.207,0.0810207,8.01055e+08,80105.5,8.01053e+08,1617.42,0.161742,507.406,1.99631,39,39,3.7,0,0
600,0.0001,998407,0.0354491,0,0.0112838,7.71862e+06,810.092,0.0810092,8.01083e+08,80108.3,8.01081e+08,1617.42,0.161742,507.406,1.99659,40,40,3.8,0,0
600,0.0001,998407,0.0354491,0,0.0112838,7.57552e+06,809.977,0.0809977,8.01111e+08,80111.1,8.01109e+08,1617.42,0.161742,507.406,1.99687,41,41,3.9,0,0
600,0.0001,998407,0.0354491,0,0.0112838,7.43239e+06,809.862,0.0809862,8.01139e+08,80113.9,8.01138e+08,1617.42,0.161742,507.406,1.99716,42,42,4,0,0
600,0.0001,998407,0.0354491,0,0.0112838,7.28924e+06,809.747,0.0809747,8.01168e+08,80116.8,8.01166e+08,1617.42,0.161742,507.406,1.99744,43,43,4.1,0,0
600,0.0001,998407,0.0354491,0,0.0112838,7.14607e+06,809.631,0.0809631,8.01196e+08,80119.6,8.01194e+08,1617.42,0.161742,507.406,1.99772,44,44,4.2,0,0
600,0.0001,998407,0.0354491,0,0.0112838,7.00289e+06,809.516,0.0809516,8.01224e+08,80122.4,8.01222e+08,1617.42,0.161742,507.406,1.99801,45,45,4.3,0,0
600,0.0001,998407,0.0354491,0,0.0112838,6.85968e+06,809.401,0.0809401,8.01252e+08,80125.2,8.01251e+08,1617.42,0.161742,507.406,1.99829,46,46,4.4,0,0
600,0.0001,998407,0.0354491,0,0.0112838,6.71645e+06,809.286,0.0809286,8.01281e+08,80128.1,8.01279e+08,1617.42,0.161742,507.406,1.99858,47,47,4.5,0,0
600,0.0001,998407,0.0354491,0,0.0112838,6.5732e+06,809.171,0.0809171,8.01309e+08,80130.9,8.01307e+08,1617.42,0.161742,507.406,1.99886,48,48,4.6,0,0
600,0.0001,998407,0.0354491,0,0.0112838,6.42993e+06,809.056,0.0809056,8.01337e+08,80133.7,8.01336e+08,1617.42,0.161742,507.406,1.99915,49,49,4.7,0,0
600,0.0001,998407,0.0354491,0,0.0112838,6.28664e+06,808.941,0.0808941,8.01365e+08,80136.5,8.01364e+08,1617.42,0.161742,507.406,1.99943,50,50,4.8,0,0
600,0.0001,998407,0.0354491,0,0.0112838,6.14333e+06,808.825,0.0808825,8.01394e+08,80139.4,8.01392e+08,1617.42,0.161742,507.406,1.99972,51,51,4.9,0,0
