"beta_max_aux","beta_aux","PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","mu_max_aux_l","kappa_max_aux_l","mu_aux_l","kappa_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","smooth_jump_grad_press_aux_l","smooth_jump_grad_dens_aux_l","mu_max_aux_g","kappa_max_aux_g","mu_aux_g","kappa_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","smooth_jump_grad_press_aux_g","smooth_jump_grad_dens_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
0.0536057,0.00739988,988305,990003,973.897,419.244,0.000685519,1.32108e+06,0.0665072,1000,3278.56,870.015,622222,2.65356e+06,0.0537126,8.13092,9.53722e-05,9.53722e-05,605681,0.380679,0.227719,312723,0.128693,0.0569242,2.73128,0.00325619,0.00325619,576292,0.962242,321867,0.492499,0,1,1
0.0552599,0.00446131,978588,979225,974.769,418.864,0.000685482,1.31642e+06,0.0618585,1000,3196.65,768.57,620606,2.653e+06,0.0553073,8.1321,0.000242644,0.000242644,645210,0.615009,0.287052,532056,0.234627,0.0565153,2.71105,0.00240324,0.00240324,711177,1.00775,546795,0.809666,0,2,2
0.0562412,0.00251607,975294,975535,975.067,418.735,0.000685443,1.3177e+06,0.0592323,1000,3155.17,711.141,620056,2.65281e+06,0.0562705,8.13263,0.000394669,0.000394669,232121,0.239549,0.136683,348996,0.174395,0.0567273,2.69867,0.00206674,0.00206674,188533,0.260917,293411,0.466715,0,3,3
0.0569964,0.00266966,973588,973724,975.222,418.668,0.000685405,1.31988e+06,0.0575801,1000,3128.83,685.565,619771,2.65271e+06,0.0570183,8.13295,0.000549727,0.000549727,286531,0.05922,0.137162,251590,0.131465,0.0572773,2.68994,0.00185061,0.00185061,85398.5,0.337272,104901,0.34569,0,4,4
0.0577657,0.00233734,972672,972764,975.305,418.632,0.000685367,1.32218e+06,0.0563006,1000,3106.34,670.616,619619,2.65266e+06,0.0577863,8.13329,0.000708745,0.000708745,201178,0.0749183,0.114853,218800,0.124434,0.0579607,2.68344,0.00179811,0.00179811,60272.4,0.447298,67264.7,0.395323,0,5,5
0.0585796,0.00275043,971740,971836,975.39,418.595,0.00068533,1.32391e+06,0.0552953,1000,3086.07,667.51,619464,2.6526e+06,0.0585993,8.13368,0.000872792,0.000872792,186314,0.0431223,0.130869,184024,0.127841,0.0587808,2.67832,0.00176465,0.00176465,63115.7,0.349427,67299.8,0.373403,0,6,6
0.059486,0.00273284,970870,970969,975.469,418.561,0.000685294,1.32522e+06,0.0544036,1000,3066.13,663.97,619320,2.65255e+06,0.0595061,8.13417,0.00104226,0.00104226,162291,0.0367829,0.134772,165293,0.136251,0.0596916,2.6743,0.00180267,0.00180267,82695.5,0.347459,79416.5,0.353811,0,7,7
0.0604785,0.00310642,969853,969966,975.562,418.52,0.000685259,1.32598e+06,0.0536321,1000,3046.87,663.63,619151,2.6525e+06,0.0604986,8.13475,0.00121855,0.00121855,150278,0.0293827,0.144592,151187,0.144527,0.060711,2.67112,0.00184837,0.00184837,89159.3,0.370901,89261.8,0.360825,0,8,8
0.0615726,0.00317705,968769,968893,975.661,418.478,0.000685225,1.32633e+06,0.0529338,1000,3027.87,662.163,618970,2.65244e+06,0.0615929,8.13544,0.00140179,0.00140179,141904,0.0244373,0.154152,142390,0.153063,0.0618253,2.66865,0.0019417,0.0019417,96033.4,0.354038,95027.2,0.369004,0,9,9
0.0627652,0.00352565,967541,967680,975.773,418.429,0.000685192,1.32625e+06,0.0523118,1000,3009.38,661.792,618766,2.65237e+06,0.0627855,8.13623,0.00159346,0.00159346,135473,0.0223188,0.159356,136431,0.160642,0.0630472,2.66677,0.00204025,0.00204025,98882.6,0.397041,98953.6,0.38228,0,10,10
0.0640646,0.00363478,966204,966357,975.895,418.376,0.00068516,1.32581e+06,0.0517471,1000,2991.28,660.941,618543,2.65229e+06,0.0640851,8.13714,0.00179368,0.00179368,132875,0.019948,0.169704,132655,0.167788,0.0643731,2.66541,0.00217816,0.00217816,102016,0.380999,101332,0.390718,0,11,11
0.0654726,0.00398669,964722,964892,976.031,418.317,0.000685129,1.32501e+06,0.0512378,1000,2973.69,660.642,618296,2.65221e+06,0.0654931,8.13816,0.00200398,0.00200398,129398,0.0193052,0.172388,130281,0.174119,0.0658132,2.66447,0.00238931,0.00238931,102412,0.403832,102761,0.394804,0,12,12
0.0669956,0.00412137,963102,963289,976.179,418.253,0.000685099,1.32389e+06,0.0507747,1000,2956.55,660.239,618026,2.65212e+06,0.0670162,8.1393,0.00222453,0.00222453,129455,0.0183791,0.181995,128870,0.179909,0.0673684,2.66391,0.00249559,0.00249559,104202,0.390551,103488,0.396048,0,13,13
0.0686385,0.00449548,961324,961529,976.342,418.182,0.00068507,1.32245e+06,0.0503541,1000,2939.9,660.221,617729,2.65201e+06,0.0686592,8.14058,0.00245692,0.00245692,127171,0.0181062,0.18326,128097,0.185025,0.0690484,2.66368,0.00293231,0.00293231,103138,0.399257,103747,0.394699,0,14,14
0.0704078,0.00465442,959377,959604,976.521,418.105,0.000685042,1.32069e+06,0.0499715,1000,2923.72,660.283,617403,2.6519e+06,0.0704287,8.14198,0.00270135,0.00270135,128592,0.0179083,0.191587,127723,0.189592,0.0708568,2.66375,0.0030098,0.0030098,104509,0.38973,103652,0.39215,0,15,15
0.0723106,0.00506358,957248,957498,976.718,418.02,0.000685016,1.31862e+06,0.0496232,1000,2908,660.685,617046,2.65178e+06,0.0723316,8.14353,0.00295945,0.00295945,126536,0.017636,0.191934,127621,0.193572,0.0728039,2.66408,0.0035484,0.0035484,102451,0.389885,103300,0.388597,0,16,16
0.0743544,0.00525009,954917,955190,976.933,417.927,0.00068499,1.31622e+06,0.0493069,1000,2892.72,661.253,616654,2.65165e+06,0.0743755,8.14522,0.00323148,0.00323148,128819,0.0178372,0.198831,127663,0.197017,0.0748954,2.66465,0.00365681,0.00365681,103792,0.384888,102719,0.384611,0,17,17
0.0765478,0.0057048,952368,952669,977.169,417.825,0.000684966,1.31349e+06,0.0490194,1000,2877.86,662.159,616226,2.65151e+06,0.0765691,8.14708,0.00351902,0.00351902,126481,0.0174244,0.198472,127811,0.199927,0.0771428,2.66543,0.00425463,0.00425463,100842,0.378783,101950,0.380057,0,18,18
0.0788996,0.00592462,949572,949904,977.429,417.713,0.000684942,1.31041e+06,0.0487596,1000,2863.38,663.28,615754,2.65135e+06,0.0789211,8.1491,0.00382236,0.00382236,129463,0.0178696,0.203934,127977,0.202327,0.0795535,2.66642,0.00440334,0.00440334,102325,0.377772,100978,0.375095,0,19,19
0.0814199,0.00643466,946515,946880,977.714,417.59,0.00068492,1.30696e+06,0.048525,1000,2849.26,664.749,615238,2.65117e+06,0.0814417,8.15129,0.00414295,0.00414295,126502,0.0172453,0.202967,128159,0.204229,0.0821405,2.66759,0.00507111,0.00507111,98420.4,0.366055,99826,0.369598,0,20,20
0.0841193,0.00669528,943156,943559,978.027,417.454,0.000684899,1.3031e+06,0.0483149,1000,2835.45,666.463,614669,2.65098e+06,0.0841415,8.15368,0.00448102,0.00448102,130168,0.01786,0.207047,128279,0.205652,0.0849131,2.66894,0.00527174,0.00527174,100138,0.368509,98460.8,0.363577,0,21,21
0.087009,0.00727048,939478,939922,978.372,417.305,0.00068488,1.29881e+06,0.0481278,1000,2821.92,668.539,614044,2.65077e+06,0.0870316,8.15626,0.00483778,0.00483778,126276,0.0169666,0.205545,128348,0.206614,0.0878858,2.67046,0.00604662,0.00604662,95145.7,0.351235,96901.6,0.356966,0,22,22
0.0901014,0.00758112,935431,935921,978.753,417.141,0.000684862,1.29405e+06,0.0479631,1000,2808.62,670.88,613355,2.65053e+06,0.0901246,8.15905,0.00521322,0.00521322,130673,0.0177297,0.208318,128297,0.207129,0.0910701,2.67213,0.00634677,0.00634677,97176.7,0.356886,95102.7,0.349674,0,23,23
0.0934089,0.00823177,930994,931534,979.173,416.961,0.000684845,1.28879e+06,0.0478196,1000,2795.52,673.595,612596,2.65028e+06,0.0934328,8.16207,0.00560812,0.00560812,125568,0.0165175,0.206336,128144,0.207218,0.0944816,2.67396,0.00721962,0.00721962,90911.6,0.333688,93077.2,0.341675,0,24,24
0.096946,0.00860333,926103,926700,979.638,416.761,0.00068483,1.28295e+06,0.0476972,1000,2782.54,676.59,611757,2.64999e+06,0.0969707,8.16532,0.00602199,0.00602199,130766,0.0174201,0.207882,127808,0.206899,0.0981342,2.67592,0.0076079,0.0076079,93308.7,0.342438,90785.2,0.332853,0,25,25
0.100726,0.00933993,920734,921394,980.151,416.541,0.000684816,1.27651e+06,0.0475949,1000,2769.66,679.961,610831,2.64968e+06,0.100751,8.16882,0.00645484,0.00645484,124133,0.0158309,0.205497,127301,0.206192,0.102045,2.67803,0.00859902,0.00859902,85612.1,0.312848,88237.8,0.323217,0,26,26
