"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_number_aux_g","mach_number_aux_l","norm_velocity_aux_g","norm_velocity_aux_l","pressure_aux_g","pressure_aux_l","temperature_aux_g","temperature_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.75,0.5,3.70793,675.985,9.26865e+06,5.17247e+08,42.5158,7136.22,1.5,4.94391,901.313,1.23579e+07,6.89612e+08,0.0213376,0.00653475,11.4662,10.5568,998350,950312,451.555,452.989,11.4662,10.5568,1,1,0,0,0
0.724323,0.4832,3.83754,652.916,9.55922e+06,4.99462e+08,43.3776,7135.25,1.49901,4.95364,901.416,1.23391e+07,6.89502e+08,0.0212325,0.00676505,11.3035,10.9283,981775,964002,443.186,452.943,11.3035,10.9283,2,2,0.01,0,0
0.709151,0.474014,3.92086,639.31,9.74701e+06,4.88921e+08,44.316,7156.84,1.49606,4.98262,901.514,1.23862e+07,6.89389e+08,0.0213479,0.00693031,11.3026,11.1946,976726,965579,438.342,452.894,11.3026,11.1946,3,3,0.02,0,0
0.700112,0.469514,3.96361,631.229,9.83886e+06,4.82612e+08,45.1388,7141.46,1.49114,5.01069,901.611,1.24377e+07,6.89277e+08,0.0215961,0.00700432,11.3883,11.3136,974375,967946,434.837,452.847,11.3883,11.3136,4,4,0.03,0,0
0.690371,0.465118,3.99696,622.512,9.91074e+06,4.7582e+08,46.0554,7155.01,1.48429,5.03445,901.707,1.2483e+07,6.89165e+08,0.021917,0.00711625,11.5226,11.4938,973097,966461,432.217,452.798,11.5226,11.4938,5,5,0.04,0,0
0.681403,0.461803,4.01492,614.49,9.9465e+06,4.69565e+08,46.8206,7140.86,1.47553,5.05578,901.801,1.25248e+07,6.89055e+08,0.0222357,0.00719527,11.6617,11.6208,972454,966855,430.11,452.751,11.6617,11.6208,6,6,0.05,0,0
0.67102,0.458069,4.02539,605.189,9.96492e+06,4.62338e+08,47.7035,7152.71,1.46489,5.0706,901.895,1.2552e+07,6.88945e+08,0.0226433,0.00731836,11.8507,11.819,971240,965104,428.318,452.703,11.8507,11.819,7,7,0.06,0,0
0.660528,0.454779,4.02669,595.787,9.96213e+06,4.55039e+08,48.4248,7139.61,1.45241,5.08493,901.986,1.25799e+07,6.88837e+08,0.023017,0.00742062,12.026,11.9835,970719,964934,426.881,452.657,12.026,11.9835,8,8,0.07,0,0
0.648892,0.451198,4.01955,585.351,9.93901e+06,4.46955e+08,49.2734,7150.6,1.43815,5.0928,902.077,1.25924e+07,6.8873e+08,0.023498,0.00756494,12.2584,12.2159,969235,963101,425.57,452.611,12.2584,12.2159,9,9,0.08,0,0
0.637006,0.447913,4.00557,574.685,9.90019e+06,4.38703e+08,49.9561,7138.29,1.42216,5.10161,902.166,1.26088e+07,6.88626e+08,0.0239356,0.00769245,12.4717,12.4212,968572,962608,424.544,452.566,12.4717,12.4212,10,10,0.09,0,0
0.624213,0.444435,3.98286,563.198,9.83994e+06,4.2983e+08,50.7704,7148.68,1.40451,5.1043,902.254,1.26101e+07,6.88522e+08,0.0244932,0.00786115,12.7472,12.693,966810,960619,423.549,452.521,12.7472,12.693,11,11,0.1,0,0
0.611191,0.441211,3.95454,551.501,9.76686e+06,4.20803e+08,51.417,7137,1.38526,5.10879,902.339,1.26172e+07,6.88422e+08,0.0250051,0.00801515,13.002,12.941,965926,959842,422.789,452.478,13.002,12.941,12,12,0.11,0,0
0.597429,0.437842,3.91772,539.134,9.67273e+06,4.11271e+08,52.1968,7146.87,1.36448,5.10747,902.423,1.26097e+07,6.88322e+08,0.0256469,0.00821075,13.3233,13.2562,963880,957621,422.003,452.435,13.3233,13.2562,13,13,0.12,0,0
0.583505,0.434714,3.87611,526.616,9.56766e+06,4.01631e+08,52.8084,7135.8,1.34227,5.10842,902.506,1.2609e+07,6.88225e+08,0.0262441,0.00839328,13.6241,13.5503,962720,956542,421.417,452.393,13.6241,13.5503,14,14,0.13,0,0
0.56897,0.431459,3.82655,513.544,9.44274e+06,3.91574e+08,53.5536,7145.15,1.31871,5.10382,902.586,1.25942e+07,6.88129e+08,0.0269801,0.0086186,13.9953,13.9134,960362,954018,420.763,452.351,13.9953,13.9134,15,15,0.14,0,0
0.554354,0.428439,3.77287,500.396,9.30844e+06,3.81467e+08,54.1311,7134.67,1.29389,5.10166,902.665,1.25863e+07,6.88037e+08,0.0276747,0.00883249,14.3474,14.2581,958868,952591,420.287,452.311,14.3474,14.2581,16,16,0.15,0,0
0.539239,0.425297,3.71197,486.794,9.15599e+06,3.71019e+08,54.8411,7143.49,1.26791,5.09415,902.741,1.25647e+07,6.87945e+08,0.0285172,0.00909091,14.7741,14.6746,956150,949690,419.713,452.272,14.7741,14.6746,17,17,0.16,0,0
0.524127,0.422384,3.64759,473.19,8.99564e+06,3.60578e+08,55.3853,7133.64,1.24088,5.08907,902.816,1.255e+07,6.87856e+08,0.0293229,0.00933975,15.1841,15.0756,954255,947844,419.299,452.233,15.1841,15.0756,18,18,0.17,0,0
0.508619,0.419345,3.57681,459.227,8.81912e+06,3.49868e+08,56.0595,7141.9,1.21289,5.07875,902.889,1.25217e+07,6.87769e+08,0.0302865,0.00963529,15.673,15.552,951107,944479,418.766,452.195,15.673,15.552,19,19,0.18,0,0
