"beta_max_aux","beta_aux","PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","mu_max_aux_l","kappa_max_aux_l","mu_aux_l","kappa_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","smooth_jump_grad_press_aux_l","smooth_jump_grad_dens_aux_l","mu_max_aux_g","kappa_max_aux_g","mu_aux_g","kappa_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","smooth_jump_grad_press_aux_g","smooth_jump_grad_dens_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
0.065386,0.00957301,982717,985633,901.348,452.986,0.00058849,1.12543e+06,0,858.41,0,0,766247,2.70377e+06,0.0655479,8.14294,8.86156e-05,8.86156e-05,1.63569e+06,0.801236,0.481875,1.26216e+06,0.362764,0.0711005,2.75395,0.00563348,0.00563348,1.62655e+06,5.84914,1.3278e+06,4.77125,0,1,1
0.067571,0.00581516,967209,968488,901.327,452.989,0.000603452,1.13681e+06,0,880.219,0,0,766268,2.70378e+06,0.0676377,8.14506,0.000267745,0.000267745,888631,0.764071,0.243653,1.5824e+06,0.446689,0.0701132,2.74629,0.00258642,0.00258642,1.02905e+06,3.69336,1.67296e+06,6.00665,0,2,2
0.0687201,0.00192707,961071,961602,901.319,452.99,0.000609813,1.14181e+06,0,889.49,0,0,766276,2.70378e+06,0.0687495,8.14618,0.000453362,0.000453362,392325,0.370329,0.0920464,532177,0.134082,0.0697827,2.74316,0.00211491,0.00211491,351588,1.24822,480172,1.71322,0,3,3
0.0693731,0.00205426,957950,958220,901.315,452.991,0.000612286,1.143e+06,0,893.095,0,0,766281,2.70378e+06,0.0693842,8.14682,0.000639779,0.000639779,455426,0.12916,0.108583,402199,0.090623,0.0699101,2.74188,0.00199576,0.00199576,188464,0.663054,198716,0.701048,0,4,4
0.0699348,0.000861461,956854,956716,901.314,452.991,0.00061345,1.14364e+06,0,894.791,0,0,766283,2.70379e+06,0.0699286,8.14737,0.000829051,0.000829051,305619,0.167144,0.0532805,338375,0.0654587,0.0701984,2.74154,0.00223374,0.00223374,66349.3,0.229859,94843.3,0.330692,0,5,5
0.0704472,0.00152738,955488,955600,901.313,452.991,0.000613841,1.14323e+06,0,895.358,0,0,766284,2.70379e+06,0.0704489,8.14789,0.00102075,0.00102075,286838,0.103243,0.0466914,279580,0.0439637,0.0706688,2.74154,0.00275893,0.00275893,58210.3,0.199996,70254.6,0.242426,0,6,6
0.0710494,0.00141376,954887,954791,901.312,452.991,0.000614097,1.14288e+06,0,895.73,0,0,766285,2.70379e+06,0.0710477,8.14848,0.00121634,0.00121634,239027,0.099998,0.0291913,246334,0.0319428,0.0712358,2.74177,0.00304947,0.00304947,98248.6,0.339852,89917.4,0.310618,0,7,7
0.0717182,0.00172639,953781,953889,901.312,452.991,0.000614187,1.14213e+06,0,895.86,0,0,766286,2.70379e+06,0.0717185,8.14915,0.00141667,0.00141667,220443,0.0803112,0.0226971,220704,0.0227776,0.071931,2.74209,0.00377166,0.00377166,104962,0.362773,106533,0.368384,0,8,8
0.0724978,0.00178744,953078,952962,901.312,452.991,0.000614306,1.14141e+06,0,896.032,0,0,766287,2.70379e+06,0.0724965,8.14993,0.0016225,0.0016225,202904,0.0739598,0.016525,204590,0.0171358,0.072725,2.7425,0.004058,0.004058,117959,0.408139,115556,0.399689,0,9,9
0.0733726,0.00210846,951745,951880,901.311,452.99,0.000614391,1.14046e+06,0,896.154,0,0,766289,2.70379e+06,0.0733729,8.1508,0.00183497,0.00183497,192107,0.0662143,0.0127959,193167,0.0131959,0.073638,2.74296,0.0048753,0.0048753,121343,0.419706,121637,0.420834,0,10,10
