"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_number_aux_g","mach_number_aux_l","norm_velocity_aux_g","norm_velocity_aux_l","pressure_aux_g","pressure_aux_l","temperature_aux_g","temperature_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.75,0.5,3.7059,675.977,9.26474e+06,5.17261e+08,53.1869,8698.16,1.5,4.94121,901.302,1.23525e+07,6.89606e+08,0.0266999,0.00796519,14.3519,12.8675,998389,925413,451.82,452.983,14.3519,12.8675,1,1,0,0,0
0.722811,0.482191,3.76506,651.476,9.39993e+06,4.98518e+08,53.0431,8698.24,1.49901,4.85062,901.309,1.21097e+07,6.89614e+08,0.0263038,0.00826477,14.0883,13.3516,973058,945779,448.58,452.989,14.0883,13.3516,2,2,0.01,0,0
0.706729,0.472394,3.80339,636.982,9.49081e+06,4.87431e+08,53.084,8728.87,1.49606,4.81852,901.31,1.20234e+07,6.89615e+08,0.0260942,0.00848257,13.957,13.7035,963993,949788,447.361,452.99,13.957,13.7035,3,3,0.02,0,0
0.700639,0.469867,3.79584,631.494,9.46938e+06,4.83233e+08,52.9751,8712.31,1.49114,4.80179,901.312,1.19784e+07,6.89617e+08,0.0261116,0.00854004,13.9561,13.7963,959243,955213,446.707,452.991,13.9561,13.7963,4,4,0.03,0,0
0.693872,0.467477,3.78979,625.395,9.45318e+06,4.78566e+08,53.0873,8728.86,1.48429,4.79466,901.312,1.19592e+07,6.89616e+08,0.026217,0.00863972,14.008,13.9574,957209,954207,446.424,452.991,14.008,13.9574,5,5,0.04,0,0
0.689857,0.467532,3.76431,621.777,9.38908e+06,4.75798e+08,52.969,8713.64,1.47553,4.7912,901.312,1.19499e+07,6.89617e+08,0.0263397,0.00867483,14.0714,14.0141,956228,955879,446.288,452.991,14.0714,14.0141,6,6,0.05,0,0
0.68365,0.466691,3.73964,616.182,9.32688e+06,4.71518e+08,53.0885,8728.51,1.46489,4.78681,901.312,1.19381e+07,6.89616e+08,0.0265785,0.00876855,14.1962,14.1655,954974,954116,446.111,452.991,14.1962,14.1655,7,7,0.06,0,0
0.678302,0.467017,3.70451,611.361,9.23909e+06,4.6783e+08,52.9678,8714.1,1.45241,4.7855,901.312,1.19346e+07,6.89617e+08,0.026771,0.00882309,14.2982,14.2536,954609,954656,446.063,452.991,14.2982,14.2536,8,8,0.07,0,0
0.670914,0.466511,3.66776,604.702,9.14666e+06,4.62736e+08,53.0881,8728.16,1.43815,4.78047,901.312,1.1921e+07,6.89616e+08,0.0271068,0.00893465,14.4742,14.4338,953170,952717,445.86,452.99,14.4742,14.4338,9,9,0.08,0,0
0.663835,0.466778,3.62403,598.322,9.0374e+06,4.57855e+08,52.968,8714.45,1.42216,4.77897,901.311,1.1917e+07,6.89616e+08,0.0273735,0.00901574,14.6158,14.5648,952755,952708,445.805,452.991,14.6158,14.5648,10,10,0.09,0,0
