"PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","beta_aux","beta_max_aux","jump_grad_alpha_aux","mu_aux_l","mu_max_aux_l","kappa_aux_l","kappa_max_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","jump_grad_press_smooth_aux_l","jump_grad_dens_smooth_aux_l","mu_aux_g","kappa_aux_g","mu_max_aux_g","kappa_max_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","jump_grad_press_smooth_aux_g","jump_grad_dens_smooth_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
999968,999968,10.0008,19997.8,0,0,0,0,0,0,149984,69992.4,3.72534e-15,4.97226e-05,8.52651e-14,1.40042e-05,5.91483e-05,1.37757e-07,1.09545,95093,0,0.316959,71555.6,0.238506,8.9449e-09,8.54886e-10,6.09619e-06,2.36644,2720.47,0.00193103,2250.84,0.00159872,0,1,1
999982,999982,10.0004,19998.8,0,0,0,0,0,0,149991,69995.9,4.65664e-15,4.15586e-05,1.13687e-13,2.54355e-05,4.96263e-05,2.50196e-07,1.09546,203767,0,0.679186,174414,0.581353,1.47702e-08,1.41162e-09,4.88868e-06,2.36644,4001.69,0.00283443,4824.87,0.00342917,0,2,2
999994,999994,10.0004,19999.1,0,0,0,0,0,0,149993,69996.8,8.3819e-15,3.63055e-05,2.84217e-14,2.83429e-05,4.5413e-05,2.78786e-07,1.09547,224012,0,0.746672,215621,0.718706,3.75474e-08,3.58843e-09,1.25461e-05,2.36645,4309,0.00306919,4873.24,0.00347112,0,3,3
999999,999999,10.0001,19999.7,0,0,0,0,0,0,149998,69998.9,8.3819e-15,4.34344e-05,0,3.72851e-05,5.49625e-05,3.66719e-07,1.09549,242424,0,0.808053,234994,0.783291,2.89904e-08,2.77064e-09,9.92769e-06,2.36644,6310.71,0.00450982,4539.78,0.00324217,0,4,4
999991,999991,10.0001,19999.7,0,0,0,0,0,0,149998,69998.9,8.3819e-15,4.51219e-05,0,3.92648e-05,5.50366e-05,3.86193e-07,1.09549,260435,0,0.8681,252926,0.84307,2.54123e-08,2.43239e-09,1.03723e-05,2.36644,3793.21,0.00271162,3852.59,0.00275628,0,5,5
999996,999996,9.99997,20000,0,0,0,0,0,0,150000,69999.9,8.3819e-15,4.9079e-05,0,4.49046e-05,5.96186e-05,4.41652e-07,1.0955,274027,0,0.913413,268268,0.894219,1.86707e-08,1.79139e-09,8.53009e-06,2.36644,2325.16,0.001672,3556.33,0.00255048,0,6,6
1e+06,1e+06,10.0001,19999.9,0,0,0,0,0,0,149999,69999.7,8.3819e-15,4.85198e-05,0,4.67528e-05,6.06013e-05,4.59832e-07,1.0955,285022,0,0.950069,280200,0.933996,1.98481e-08,1.90547e-09,7.4054e-06,2.36644,4815.17,0.00345584,4301.49,0.00308695,0,7,7
1.00001e+06,1.00001e+06,10.0001,20000,0,0,0,0,0,0,150000,70000,8.3819e-15,5.09962e-05,0,4.86761e-05,6.18385e-05,4.78746e-07,1.09551,290598,0,0.968659,287847,0.959488,5.09641e-08,4.88841e-09,1.90236e-05,2.36645,4793.58,0.00342695,4308.28,0.003089,0,8,8
1e+06,1e+06,9.99999,20000,0,0,0,0,0,0,150000,70000.1,8.3819e-15,5.25275e-05,0,4.89523e-05,6.1282e-05,4.81462e-07,1.09551,291147,0,0.970489,290335,0.967781,3.04615e-08,2.91468e-09,1.20016e-05,2.36644,5696,0.00406036,3939.7,0.00281764,0,9,9
999990,999990,9.99994,19999.9,0,0,0,0,0,0,149999,69999.7,8.3819e-15,4.92905e-05,0,4.78815e-05,5.96387e-05,4.70934e-07,1.0955,285433,0,0.951443,287048,0.956825,3.70162e-08,3.53773e-09,1.87513e-05,2.36645,4199.17,0.00299852,3150.1,0.00224835,0,10,10
999998,999998,9.99992,20000.1,0,0,0,0,0,0,150001,70000.4,8.3819e-15,4.56045e-05,0,4.47161e-05,5.65321e-05,4.39792e-07,1.0955,273418,0,0.911394,277512,0.925039,1.22671e-08,1.17239e-09,7.72228e-06,2.36644,740.747,0.000529136,2453.98,0.0017517,0,11,11
1.00001e+06,1.00001e+06,10.0001,19999.8,0,0,0,0,0,0,149999,69999.4,8.3819e-15,4.43993e-05,0,3.96386e-05,5.21111e-05,3.89864e-07,1.09549,254962,0,0.849874,261616,0.872052,3.78282e-08,3.61525e-09,1.59796e-05,2.36645,4468.17,0.00318798,3787.3,0.00270461,0,12,12
1.00001e+06,1.00001e+06,10.0001,20000.2,0,0,0,0,0,0,150001,70000.7,8.3819e-15,3.8799e-05,0,3.30835e-05,4.64504e-05,3.2538e-07,1.0955,230513,0,0.768377,239592,0.79864,8.13885e-08,7.77828e-09,2.51959e-05,2.36646,5176.74,0.00369713,5249.06,0.00374786,0,13,13
999994,999994,10.0001,19999.8,0,0,0,0,0,0,149998,69999.2,8.3819e-15,3.0051e-05,0,2.571e-05,3.97783e-05,2.52871e-07,1.09548,200887,0,0.669624,212113,0.707043,5.12665e-08,4.89966e-09,1.49772e-05,2.36645,5973.26,0.00426841,5496.86,0.00392544,0,14,14
999989,999989,9.99977,20000.2,0,0,0,0,0,0,150002,70000.8,8.3819e-15,2.63646e-05,0,1.83132e-05,3.23978e-05,1.80111e-07,1.09548,167379,0,0.557932,180289,0.600962,8.30867e-08,7.94083e-09,2.98307e-05,2.36646,6226.99,0.00444804,4540.15,0.0032427,0,15,15
999992,999992,10,19999.8,0,0,0,0,0,0,149998,69999.1,8.3819e-15,2.21041e-05,0,1.16729e-05,2.47057e-05,1.1481e-07,1.09546,131694,0,0.438981,145660,0.485534,2.68573e-08,2.56682e-09,1.00607e-05,2.36644,1614.07,0.00115199,4164.11,0.00297393,0,16,16
1.00002e+06,1.00002e+06,10.0001,20000.2,0,0,0,0,0,0,150002,70000.8,8.3819e-15,1.17065e-05,0,6.39763e-06,1.71579e-05,6.29212e-08,1.09547,95876.1,0,0.319587,110131,0.367104,1.10569e-07,1.05669e-08,3.11645e-05,2.36647,6021.46,0.00430102,5808.56,0.00414891,0,17,17
