"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_aux_g","mach_aux_l","pressure_aux_g","pressure_aux_l","total_energy_aux_g","total_energy_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.5,0.5,0.5,5,1.25e+06,250000,0,0,1,1,10,2.5e+06,500000,0,0,1e+06,1e+06,2.5e+06,500000,0,0,1,1,0,0,0
0.5,0.5,0.499997,4.99946,1.24999e+06,249919,-0.00304808,-0.295709,1,0.999995,9.99892,2.49998e+06,499838,5.15222e-06,0.000108001,999993,999676,2.49998e+06,499838,-0.00609619,-0.0591483,2,2,0.004,0,0
0.5,0.5,0.5,5.00024,1.25e+06,250037,0.000603753,0.134041,1,1,10.0005,2.5e+06,500073,1.02053e-06,4.89402e-05,1e+06,1.00015e+06,2.5e+06,500073,0.0012075,0.026807,3,3,0.008,0,0
0.5,0.5,0.500005,4.99953,1.25002e+06,249929,0.00566933,-0.259229,1,1.00001,9.99905,2.50003e+06,499858,9.5828e-06,9.4675e-05,1.00001e+06,999716,2.50003e+06,499858,0.0113385,-0.0518507,4,4,0.012,0,0
0.5,0.5,0.499998,5.0004,1.24999e+06,250059,-0.00292834,0.216752,1,0.999995,10.0008,2.49998e+06,500119,4.94983e-06,7.91343e-05,999993,1.00024e+06,2.49998e+06,500119,-0.00585671,0.0433471,5,5,0.016,0,0
0.5,0.5,0.499998,4.99953,1.24999e+06,249929,-0.00225778,-0.259871,1,0.999996,9.99905,2.49999e+06,499858,3.81636e-06,9.49096e-05,999995,999715,2.49999e+06,499858,-0.00451558,-0.0519792,6,6,0.02,0,0
0.5,0.5,0.499998,5.00047,1.24999e+06,250070,-0.00200725,0.256441,1,0.999997,10.0009,2.49999e+06,500140,3.39289e-06,9.36214e-05,999995,1.00028e+06,2.49999e+06,500140,-0.00401452,0.0512833,7,7,0.024,0,0
0.5,0.5,0.500004,4.99951,1.25001e+06,249926,0.00440604,-0.268379,1,1.00001,9.99902,2.50003e+06,499853,7.4475e-06,9.80175e-05,1.00001e+06,999706,2.50003e+06,499853,0.00881201,-0.0536811,8,8,0.028,0,0
0.5,0.5,0.500004,5.00049,1.25002e+06,250073,0.00510581,0.267158,1,1.00001,10.001,2.50003e+06,500146,8.63031e-06,9.75332e-05,1.00001e+06,1.00029e+06,2.50003e+06,500146,0.0102115,0.0534264,9,9,0.032,0,0
0.5,0.5,0.499996,4.99952,1.24998e+06,249928,-0.00528785,-0.263561,1,0.999991,9.99904,2.49997e+06,499856,8.9382e-06,9.62573e-05,999987,999711,2.49997e+06,499856,-0.0105758,-0.0527172,10,10,0.036,0,0
0.5,0.5,0.499997,5.00046,1.24999e+06,250069,-0.00408775,0.252924,1,0.999993,10.0009,2.49998e+06,500139,6.90961e-06,9.23376e-05,999990,1.00028e+06,2.49998e+06,500139,-0.00817555,0.0505801,11,11,0.04,0,0
0.5,0.5,0.5,4.99957,1.25e+06,249935,0.000226638,-0.236661,1,1,9.99914,2.5e+06,499870,3.83089e-07,8.64314e-05,1e+06,999741,2.5e+06,499870,0.000453277,-0.0473363,12,12,0.044,0,0
0.5,0.5,0.500007,5.00039,1.25002e+06,250059,0.00776327,0.214631,1,1.00001,10.0008,2.50005e+06,500118,1.31221e-05,7.83598e-05,1.00002e+06,1.00024e+06,2.50005e+06,500118,0.0155263,0.0429228,13,13,0.048,0,0
0.5,0.5,0.500004,4.99966,1.25001e+06,249949,0.00483481,-0.187645,1,1.00001,9.99931,2.50003e+06,499897,8.17224e-06,6.85278e-05,1.00001e+06,999794,2.50003e+06,499897,0.00966954,-0.0375317,14,14,0.052,0,0
0.5,0.5,0.499993,5.00029,1.24998e+06,250043,-0.00813572,0.156841,1,0.999986,10.0006,2.49995e+06,500086,1.37521e-05,5.72637e-05,999981,1.00017e+06,2.49995e+06,500086,-0.0162717,0.0313664,15,15,0.056,0,0
0.5,0.5,0.499994,4.99977,1.24998e+06,249966,-0.00677941,-0.123735,1,0.999989,9.99955,2.49996e+06,499932,1.14595e-05,4.51858e-05,999984,999864,2.49996e+06,499932,-0.013559,-0.0247482,16,16,0.06,0,0
0.5,0.5,0.500002,5.00016,1.25001e+06,250025,0.00193334,0.0902201,1,1,10.0003,2.50001e+06,500049,3.26793e-06,3.29416e-05,1e+06,1.0001e+06,2.50001e+06,500049,0.00386667,0.0180434,17,17,0.064,0,0
