kappa,mu,mu_max,ObjectId,GlobalElementId,PedigreeElementId
1.25E-08,1.25E-08,28.5788,0,1,1
1.25E-08,1.25E-08,28.5788,0,2,2
1.25E-08,1.25E-08,28.5788,0,3,3
1.25E-08,1.25E-08,28.5788,0,4,4
1.25E-08,1.25E-08,28.5788,0,5,5
1.25E-08,1.25E-08,28.5788,0,6,6
1.25E-08,1.25E-08,28.5788,0,7,7
1.25E-08,1.25E-08,28.5788,0,8,8
1.25E-08,1.25E-08,28.5788,0,9,9
1.25E-08,1.25E-08,28.5788,0,10,10
8.62E-05,8.62E-05,28.5788,1,11,11
8.64E-05,8.64E-05,28.5789,1,12,12
8.66E-05,8.66E-05,28.5789,1,13,13
8.67E-05,8.67E-05,28.579,1,14,14
8.69E-05,8.69E-05,28.5791,1,15,15
8.71E-05,8.71E-05,28.5792,1,16,16
8.73E-05,8.73E-05,28.5792,1,17,17
8.75E-05,8.75E-05,28.5793,1,18,18
8.77E-05,8.77E-05,28.5794,1,19,19
8.79E-05,8.79E-05,28.5795,1,20,20
8.81E-05,8.81E-05,28.5795,1,21,21
8.83E-05,8.83E-05,28.5796,1,22,22
8.85E-05,8.85E-05,28.5797,1,23,23
8.87E-05,8.87E-05,28.5797,1,24,24
8.89E-05,8.89E-05,28.5798,1,25,25
8.91E-05,8.91E-05,28.5799,1,26,26
8.93E-05,8.93E-05,28.58,1,27,27
8.95E-05,8.95E-05,28.58,1,28,28
8.97E-05,8.97E-05,28.5801,1,29,29
8.99E-05,8.99E-05,28.5802,1,30,30
9.01E-05,9.01E-05,28.5803,1,31,31
9.03E-05,9.03E-05,28.5803,1,32,32
9.05E-05,9.05E-05,28.5804,1,33,33
9.07E-05,9.07E-05,28.5805,1,34,34
9.10E-05,9.10E-05,28.5806,1,35,35
9.12E-05,9.12E-05,28.5806,1,36,36
9.14E-05,9.14E-05,28.5807,1,37,37
9.16E-05,9.16E-05,28.5808,1,38,38
9.18E-05,9.18E-05,28.5809,1,39,39
9.20E-05,9.20E-05,28.5809,1,40,40
9.22E-05,9.22E-05,28.581,1,41,41
9.24E-05,9.24E-05,28.5811,1,42,42
9.27E-05,9.27E-05,28.5812,1,43,43
9.29E-05,9.29E-05,28.5812,1,44,44
9.31E-05,9.31E-05,28.5813,1,45,45
9.33E-05,9.33E-05,28.5814,1,46,46
9.35E-05,9.35E-05,28.5815,1,47,47
9.37E-05,9.37E-05,28.5816,1,48,48
9.40E-05,9.40E-05,28.5816,1,49,49
9.42E-05,9.42E-05,28.5817,1,50,50
1.41E-08,1.41E-08,28.5817,2,51,51
1.41E-08,1.41E-08,28.5817,2,52,52
1.41E-08,1.41E-08,28.5817,2,53,53
1.41E-08,1.41E-08,28.5817,2,54,54
1.41E-08,1.41E-08,28.5817,2,55,55
1.41E-08,1.41E-08,28.5817,2,56,56
1.41E-08,1.41E-08,28.5817,2,57,57
1.41E-08,1.41E-08,28.5817,2,58,58
1.41E-08,1.41E-08,28.5817,2,59,59
1.41E-08,1.41E-08,28.5817,2,60,60
