"kappa","mu","mu_max","ObjectId","GlobalElementId","PedigreeElementId"
8.61775e-05,8.61775e-05,28.5788,1,11,11
8.63646e-05,8.63646e-05,28.5789,1,12,12
8.65598e-05,8.65598e-05,28.5789,1,13,13
8.67482e-05,8.67482e-05,28.579,1,14,14
8.69449e-05,8.69449e-05,28.5791,1,15,15
8.71348e-05,8.71348e-05,28.5792,1,16,16
8.73328e-05,8.73328e-05,28.5792,1,17,17
8.75241e-05,8.75241e-05,28.5793,1,18,18
8.77237e-05,8.77237e-05,28.5794,1,19,19
8.79164e-05,8.79164e-05,28.5795,1,20,20
8.81174e-05,8.81174e-05,28.5795,1,21,21
8.83117e-05,8.83117e-05,28.5796,1,22,22
8.85142e-05,8.85142e-05,28.5797,1,23,23
8.87099e-05,8.87099e-05,28.5797,1,24,24
8.89139e-05,8.89139e-05,28.5798,1,25,25
8.91111e-05,8.91111e-05,28.5799,1,26,26
8.93166e-05,8.93166e-05,28.58,1,27,27
8.95153e-05,8.95153e-05,28.58,1,28,28
8.97224e-05,8.97224e-05,28.5801,1,29,29
8.99226e-05,8.99226e-05,28.5802,1,30,30
9.01312e-05,9.01312e-05,28.5803,1,31,31
9.0333e-05,9.0333e-05,28.5803,1,32,32
9.05432e-05,9.05432e-05,28.5804,1,33,33
9.07466e-05,9.07466e-05,28.5805,1,34,34
9.09583e-05,9.09583e-05,28.5806,1,35,35
9.11632e-05,9.11632e-05,28.5806,1,36,36
9.13766e-05,9.13766e-05,28.5807,1,37,37
9.15831e-05,9.15831e-05,28.5808,1,38,38
9.17981e-05,9.17981e-05,28.5809,1,39,39
9.20063e-05,9.20063e-05,28.5809,1,40,40
9.22229e-05,9.22229e-05,28.581,1,41,41
9.24327e-05,9.24327e-05,28.5811,1,42,42
9.26509e-05,9.26509e-05,28.5812,1,43,43
9.28624e-05,9.28624e-05,28.5812,1,44,44
9.30823e-05,9.30823e-05,28.5813,1,45,45
9.32954e-05,9.32954e-05,28.5814,1,46,46
9.3517e-05,9.3517e-05,28.5815,1,47,47
9.37318e-05,9.37318e-05,28.5816,1,48,48
9.39552e-05,9.39552e-05,28.5816,1,49,49
9.41716e-05,9.41716e-05,28.5817,1,50,50
