kappa,mu,mu_max,ObjectId,GlobalElementId,PedigreeElementId
2.89E-05,2.89E-05,28.5785,0,1,1
2.90E-05,2.90E-05,28.5785,0,2,2
2.90E-05,2.90E-05,28.5785,0,3,3
2.90E-05,2.90E-05,28.5785,0,4,4
2.90E-05,2.90E-05,28.5785,0,5,5
2.90E-05,2.90E-05,28.5785,0,6,6
2.90E-05,2.90E-05,28.5785,0,7,7
2.91E-05,2.91E-05,28.5785,0,8,8
2.91E-05,2.91E-05,28.5785,0,9,9
2.91E-05,2.91E-05,28.5785,0,10,10
0.00320551,0.00320478,28.6364,1,11,11
0.00307206,0.00307137,28.7486,1,12,12
0.00294502,0.00294435,28.8555,1,13,13
0.00282277,0.00282213,28.9573,1,14,14
0.00270661,0.002706,29.0543,1,15,15
0.00259459,0.00259401,29.1468,1,16,16
0.00248842,0.00248786,29.2349,1,17,17
0.00238575,0.00238522,29.3189,1,18,18
0.00228876,0.00228825,29.3991,1,19,19
0.00219462,0.00219414,29.4754,1,20,20
0.00210607,0.0021056,29.5483,1,21,21
0.00201971,0.00201927,29.6178,1,22,22
0.00193891,0.00193848,29.6841,1,23,23
0.00185965,0.00185924,29.7473,1,24,24
0.00178598,0.00178559,29.8077,1,25,25
0.00171318,0.0017128,29.8652,1,26,26
0.00164607,0.00164571,29.9202,1,27,27
0.00157915,0.0015788,29.9726,1,28,28
0.00151808,0.00151776,30.0227,1,29,29
0.00145651,0.00145619,30.0705,1,30,30
0.00140102,0.00140071,30.1161,1,31,31
0.00134429,0.00134401,30.1596,1,32,32
0.00129394,0.00129366,30.2012,1,33,33
0.00124162,0.00124136,30.2409,1,34,34
0.00119601,0.00119576,30.2788,1,35,35
0.00114769,0.00114744,30.315,1,36,36
0.00110645,0.00110622,30.3496,1,37,37
0.00106174,0.00106152,30.3826,1,38,38
0.00102456,0.00102435,30.4141,1,39,39
0.000983122,0.00098292,30.4443,1,40,40
0.000949691,0.000949498,30.473,1,41,41
0.000911198,0.000911013,30.5005,1,42,42
0.000881244,0.000881067,30.5268,1,43,43
0.000845406,0.000845237,30.5519,1,44,44
0.000818678,0.000818516,30.5758,1,45,45
0.000785225,0.000785071,30.5987,1,46,46
0.000761497,0.000761349,30.6206,1,47,47
0.000730182,0.000730041,30.6415,1,48,48
0.000709245,0.00070911,30.6615,1,49,49
0.000679841,0.000679711,30.6806,1,50,50
1.38E-06,1.38E-06,30.6899,2,51,51
1.38E-06,1.38E-06,30.6899,2,52,52
1.38E-06,1.38E-06,30.6899,2,53,53
1.38E-06,1.38E-06,30.6899,2,54,54
1.38E-06,1.38E-06,30.6899,2,55,55
1.38E-06,1.38E-06,30.6899,2,56,56
1.38E-06,1.38E-06,30.6899,2,57,57
1.38E-06,1.38E-06,30.6899,2,58,58
1.38E-06,1.38E-06,30.6899,2,59,59
1.38E-06,1.38E-06,30.6899,2,60,60
