Tw,area,enthalpy,heat_flux_perimeter,heat_transfer_coefficient,hydraulic_diameter,pressure,rho,rhoA,rhoE,rhoEA,rhoe,rhou,rhouA,temperature,u,GlobalNodeId,PedigreeNodeId,Points:0,Points:1,Points:2
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.20E+06,27.3332,0.00273332,6.99E+07,6991.09,6.99E+07,52.8835,0.00528835,507.425,1.93477,1,1,0,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.20E+06,27.3353,0.00273353,6.99E+07,6991.5,6.99E+07,52.8844,0.00528844,507.387,1.93466,2,2,0.1,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.20E+06,27.3332,0.00273332,6.99E+07,6991.08,6.99E+07,52.8835,0.00528835,507.425,1.93477,3,3,0.2,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.20E+06,27.3353,0.00273353,6.99E+07,6991.5,6.99E+07,52.8844,0.00528844,507.387,1.93466,4,4,0.3,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.20E+06,27.3332,0.00273332,6.99E+07,6991.08,6.99E+07,52.8835,0.00528835,507.425,1.93477,5,5,0.4,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.20E+06,27.3353,0.00273353,6.99E+07,6991.5,6.99E+07,52.8844,0.00528844,507.387,1.93466,6,6,0.5,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.20E+06,27.3332,0.00273332,6.99E+07,6991.08,6.99E+07,52.8835,0.00528835,507.425,1.93477,7,7,0.6,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.20E+06,27.3353,0.00273353,6.99E+07,6991.5,6.99E+07,52.8844,0.00528844,507.387,1.93466,8,8,0.7,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.20E+06,27.3332,0.00273332,6.99E+07,6991.08,6.99E+07,52.8835,0.00528835,507.425,1.93477,9,9,0.8,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.20E+06,27.3353,0.00273353,6.99E+07,6991.5,6.99E+07,52.8844,0.00528844,507.387,1.93466,10,10,0.9,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.20E+06,27.3332,0.00273332,6.99E+07,6991.08,6.99E+07,52.8835,0.00528835,507.425,1.93477,11,11,1,0,0
600,0.0001,2.78E+06,0.0354491,100,0.0112838,6.20E+06,27.3332,0.00273332,6.99E+07,6991.08,6.99E+07,52.8835,0.00528835,507.425,1.93477,12,12,1,0,0
600,0.0001,2.79E+06,0.0354491,100,0.0112838,6.20E+06,27.0957,0.00270957,6.94E+07,6941.8,6.94E+07,52.8844,0.00528844,511.498,1.95177,13,13,1.1,0,0
600,0.0001,2.80E+06,0.0354491,100,0.0112838,6.19E+06,26.871,0.0026871,6.90E+07,6895.13,6.90E+07,52.8849,0.00528849,515.392,1.9681,14,14,1.2,0,0
600,0.0001,2.80E+06,0.0354491,100,0.0112838,6.19E+06,26.6583,0.00266583,6.85E+07,6850.88,6.85E+07,52.8857,0.00528857,519.115,1.98383,15,15,1.3,0,0
600,0.0001,2.81E+06,0.0354491,100,0.0112838,6.18E+06,26.4568,0.00264568,6.81E+07,6808.88,6.81E+07,52.8861,0.00528861,522.675,1.99896,16,16,1.4,0,0
600,0.0001,2.81E+06,0.0354491,100,0.0112838,6.18E+06,26.2657,0.00262657,6.77E+07,6768.99,6.77E+07,52.8867,0.00528867,526.078,2.01353,17,17,1.5,0,0
600,0.0001,2.82E+06,0.0354491,100,0.0112838,6.17E+06,26.0842,0.00260842,6.73E+07,6731.06,6.73E+07,52.887,0.0052887,529.331,2.02755,18,18,1.6,0,0
600,0.0001,2.82E+06,0.0354491,100,0.0112838,6.17E+06,25.9118,0.00259118,6.69E+07,6694.95,6.69E+07,52.8876,0.00528876,532.442,2.04106,19,19,1.7,0,0
600,0.0001,2.83E+06,0.0354491,100,0.0112838,6.17E+06,25.7479,0.00257479,6.66E+07,6660.55,6.66E+07,52.8877,0.00528877,535.415,2.05406,20,20,1.8,0,0
600,0.0001,2.83E+06,0.0354491,100,0.0112838,6.16E+06,25.5918,0.00255918,6.63E+07,6627.75,6.63E+07,52.8883,0.00528883,538.259,2.06661,21,21,1.9,0,0
600,0.0001,2.83E+06,0.0354491,100,0.0112838,6.16E+06,25.4432,0.00254432,6.60E+07,6596.44,6.60E+07,52.8884,0.00528884,540.976,2.07869,22,22,2,0,0
600,0.0001,2.84E+06,0.0354491,100,0.0112838,6.15E+06,25.3014,0.00253014,6.57E+07,6566.53,6.57E+07,52.8888,0.00528888,543.576,2.09035,23,23,2.1,0,0
600,0.0001,2.84E+06,0.0354491,100,0.0112838,6.15E+06,25.1662,0.00251662,6.54E+07,6537.94,6.54E+07,52.8889,0.00528889,546.059,2.10158,24,24,2.2,0,0
600,0.0001,2.85E+06,0.0354491,100,0.0112838,6.14E+06,25.0371,0.00250371,6.51E+07,6510.58,6.51E+07,52.8893,0.00528893,548.435,2.11244,25,25,2.3,0,0
600,0.0001,2.85E+06,0.0354491,100,0.0112838,6.14E+06,24.9137,0.00249137,6.48E+07,6484.38,6.48E+07,52.8893,0.00528893,550.704,2.1229,26,26,2.4,0,0
600,0.0001,2.85E+06,0.0354491,100,0.0112838,6.13E+06,24.7957,0.00247957,6.46E+07,6459.27,6.46E+07,52.8896,0.00528896,552.876,2.13301,27,27,2.5,0,0
600,0.0001,2.86E+06,0.0354491,100,0.0112838,6.13E+06,24.6828,0.00246828,6.44E+07,6435.19,6.44E+07,52.8896,0.00528896,554.95,2.14277,28,28,2.6,0,0
600,0.0001,2.86E+06,0.0354491,100,0.0112838,6.12E+06,24.5747,0.00245747,6.41E+07,6412.06,6.41E+07,52.89,0.005289,556.935,2.15221,29,29,2.7,0,0
600,0.0001,2.86E+06,0.0354491,100,0.0112838,6.12E+06,24.4711,0.00244711,6.39E+07,6389.85,6.39E+07,52.8899,0.00528899,558.83,2.16132,30,30,2.8,0,0
600,0.0001,2.86E+06,0.0354491,100,0.0112838,6.11E+06,24.3717,0.00243717,6.37E+07,6368.5,6.37E+07,52.8902,0.00528902,560.644,2.17015,31,31,2.9,0,0
600,0.0001,2.87E+06,0.0354491,100,0.0112838,6.11E+06,24.2763,0.00242763,6.35E+07,6347.95,6.35E+07,52.8902,0.00528902,562.376,2.17867,32,32,3,0,0
600,0.0001,2.87E+06,0.0354491,100,0.0112838,6.10E+06,24.1847,0.00241847,6.33E+07,6328.16,6.33E+07,52.8904,0.00528904,564.034,2.18694,33,33,3.1,0,0
600,0.0001,2.87E+06,0.0354491,100,0.0112838,6.10E+06,24.0967,0.00240967,6.31E+07,6309.11,6.31E+07,52.8904,0.00528904,565.617,2.19492,34,34,3.2,0,0
600,0.0001,2.87E+06,0.0354491,100,0.0112838,6.09E+06,24.012,0.0024012,6.29E+07,6290.71,6.29E+07,52.8906,0.00528906,567.133,2.20267,35,35,3.3,0,0
600,0.0001,2.88E+06,0.0354491,100,0.0112838,6.08E+06,23.9306,0.00239306,6.27E+07,6272.98,6.27E+07,52.8905,0.00528905,568.579,2.21017,36,36,3.4,0,0
600,0.0001,2.88E+06,0.0354491,100,0.0112838,6.08E+06,23.8521,0.00238521,6.26E+07,6255.84,6.26E+07,52.8907,0.00528907,569.964,2.21745,37,37,3.5,0,0
600,0.0001,2.88E+06,0.0354491,100,0.0112838,6.07E+06,23.7765,0.00237765,6.24E+07,6239.29,6.24E+07,52.8907,0.00528907,571.285,2.22449,38,38,3.6,0,0
600,0.0001,2.88E+06,0.0354491,100,0.0112838,6.07E+06,23.7035,0.00237035,6.22E+07,6223.26,6.22E+07,52.8909,0.00528909,572.552,2.23135,39,39,3.7,0,0
600,0.0001,2.88E+06,0.0354491,100,0.0112838,6.06E+06,23.6332,0.00236332,6.21E+07,6207.77,6.21E+07,52.8908,0.00528908,573.759,2.23798,40,40,3.8,0,0
600,0.0001,2.89E+06,0.0354491,100,0.0112838,6.06E+06,23.5652,0.00235652,6.19E+07,6192.74,6.19E+07,52.891,0.0052891,574.917,2.24445,41,41,3.9,0,0
600,0.0001,2.89E+06,0.0354491,100,0.0112838,6.05E+06,23.4996,0.00234996,6.18E+07,6178.2,6.18E+07,52.8909,0.00528909,576.02,2.25071,42,42,4,0,0
600,0.0001,2.89E+06,0.0354491,100,0.0112838,6.05E+06,23.4361,0.00234361,6.16E+07,6164.08,6.16E+07,52.891,0.0052891,577.078,2.25682,43,43,4.1,0,0
600,0.0001,2.89E+06,0.0354491,100,0.0112838,6.04E+06,23.3747,0.00233747,6.15E+07,6150.39,6.15E+07,52.891,0.0052891,578.086,2.26274,44,44,4.2,0,0
