Tw,area,enthalpy,heat_flux_perimeter,heat_transfer_coefficient,hydraulic_diameter,pressure,rho,rhoA,rhoE,rhoEA,rhoe,rhou,rhouA,temperature,u,GlobalNodeId,PedigreeNodeId,Points:0,Points:1,Points:2
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.18E+06,27.2556,0.00272556,6.97E+07,6971.19,6.97E+07,52.884,0.0052884,507.406,1.94029,1,1,0,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.18E+06,27.2556,0.00272556,6.97E+07,6971.19,6.97E+07,52.884,0.0052884,507.406,1.94029,2,2,0.1,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.18E+06,27.2556,0.00272556,6.97E+07,6971.19,6.97E+07,52.884,0.0052884,507.406,1.94029,3,3,0.2,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.18E+06,27.2556,0.00272556,6.97E+07,6971.19,6.97E+07,52.884,0.0052884,507.406,1.94029,4,4,0.3,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.18E+06,27.2556,0.00272556,6.97E+07,6971.19,6.97E+07,52.884,0.0052884,507.406,1.94029,5,5,0.4,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.18E+06,27.2556,0.00272556,6.97E+07,6971.19,6.97E+07,52.884,0.0052884,507.406,1.94029,6,6,0.5,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.18E+06,27.2556,0.00272556,6.97E+07,6971.19,6.97E+07,52.884,0.0052884,507.406,1.94029,7,7,0.6,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.18E+06,27.2556,0.00272556,6.97E+07,6971.19,6.97E+07,52.884,0.0052884,507.406,1.94029,8,8,0.7,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.18E+06,27.2556,0.00272556,6.97E+07,6971.19,6.97E+07,52.884,0.0052884,507.406,1.94029,9,9,0.8,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.18E+06,27.2556,0.00272556,6.97E+07,6971.19,6.97E+07,52.884,0.0052884,507.406,1.94029,10,10,0.9,0,0
0,0.0001,2.78E+06,0.0354491,0,0.0112838,6.18E+06,27.2556,0.00272556,6.97E+07,6971.19,6.97E+07,52.884,0.0052884,507.406,1.94029,11,11,1,0,0
600,0.0001,2.78E+06,0.0354491,0,0.0112838,6.18E+06,27.2556,0.00272556,6.97E+07,6971.19,6.97E+07,52.884,0.0052884,507.406,1.94029,12,12,1,0,0
600,0.0001,2.78E+06,0.0354491,0,0.0112838,6.18E+06,27.2356,0.00272356,6.97E+07,6966.06,6.97E+07,52.884,0.0052884,507.406,1.94172,13,13,1.1,0,0
600,0.0001,2.78E+06,0.0354491,0,0.0112838,6.18E+06,27.2155,0.00272155,6.96E+07,6960.93,6.96E+07,52.884,0.0052884,507.406,1.94315,14,14,1.2,0,0
600,0.0001,2.78E+06,0.0354491,0,0.0112838,6.17E+06,27.1955,0.00271955,6.96E+07,6955.8,6.96E+07,52.884,0.0052884,507.406,1.94459,15,15,1.3,0,0
600,0.0001,2.78E+06,0.0354491,0,0.0112838,6.17E+06,27.1754,0.00271754,6.95E+07,6950.66,6.95E+07,52.884,0.0052884,507.406,1.94603,16,16,1.4,0,0
600,0.0001,2.78E+06,0.0354491,0,0.0112838,6.16E+06,27.1553,0.00271553,6.95E+07,6945.52,6.95E+07,52.884,0.0052884,507.406,1.94747,17,17,1.5,0,0
600,0.0001,2.78E+06,0.0354491,0,0.0112838,6.16E+06,27.1352,0.00271352,6.94E+07,6940.37,6.94E+07,52.884,0.0052884,507.406,1.94891,18,18,1.6,0,0
600,0.0001,2.78E+06,0.0354491,0,0.0112838,6.15E+06,27.115,0.0027115,6.94E+07,6935.22,6.94E+07,52.884,0.0052884,507.406,1.95036,19,19,1.7,0,0
600,0.0001,2.78E+06,0.0354491,0,0.0112838,6.15E+06,27.0949,0.00270949,6.93E+07,6930.07,6.93E+07,52.884,0.0052884,507.406,1.95181,20,20,1.8,0,0
600,0.0001,2.78E+06,0.0354491,0,0.0112838,6.14E+06,27.0747,0.00270747,6.92E+07,6924.91,6.92E+07,52.884,0.0052884,507.406,1.95326,21,21,1.9,0,0
600,0.0001,2.78E+06,0.0354491,0,0.0112838,6.14E+06,27.0545,0.00270545,6.92E+07,6919.75,6.92E+07,52.884,0.0052884,507.406,1.95472,22,22,2,0,0
600,0.0001,2.78E+06,0.0354491,0,0.0112838,6.13E+06,27.0343,0.00270343,6.91E+07,6914.58,6.91E+07,52.884,0.0052884,507.406,1.95618,23,23,2.1,0,0
600,0.0001,2.78E+06,0.0354491,0,0.0112838,6.13E+06,27.0141,0.00270141,6.91E+07,6909.41,6.91E+07,52.884,0.0052884,507.406,1.95764,24,24,2.2,0,0
600,0.0001,2.78E+06,0.0354491,0,0.0112838,6.13E+06,26.9939,0.00269939,6.90E+07,6904.24,6.90E+07,52.884,0.0052884,507.406,1.95911,25,25,2.3,0,0
